filtered_row_index,rpm,deg,tor,fft_y_Bw_filtered_ampl_0,fft_y_Bw_filtered_phase_0,fft_y_Bw_filtered_ampl_1,fft_y_Bw_filtered_phase_1,fft_y_Bw_filtered_ampl_3,fft_y_Bw_filtered_phase_3,fft_y_Bw_filtered_ampl_39,fft_y_Bw_filtered_phase_39,fft_y_Bw_filtered_ampl_40,fft_y_Bw_filtered_phase_40,fft_y_Bw_filtered_ampl_78,fft_y_Bw_filtered_phase_78,fft_y_Bw_filtered_ampl_81,fft_y_Bw_filtered_phase_81,fft_y_Bw_filtered_ampl_156,fft_y_Bw_filtered_phase_156,fft_y_Bw_filtered_ampl_162,fft_y_Bw_filtered_phase_162,fft_y_Bw_filtered_ampl_240,fft_y_Bw_filtered_phase_240
501,1300.0,35.0,400.0,0.005983326198995469,0.0,0.017144737648814704,0.008183665577011768,0.00078441788117039,1.7004991268882543,0.0003509076763792668,-1.8170037047361767,0.00034915014646577045,0.43565109370282085,0.00045518753262469296,0.3080488128434757,9.366182111944597e-05,0.33394126870807533,0.0002011327501118486,0.7224072219493732,0.0003047458426467354,1.4463009994569005,0.0002788349297630382,3.071764226497004
502,1300.0,35.0,500.0,0.00967112246624446,0.0,0.017132786278006077,0.008216546527179912,0.0007951512795281101,1.646058591362448,0.00031779601495187146,-2.0470184525348345,0.0003583157246801627,0.4758430238656585,0.0005545455599935609,0.34177968279131954,9.209799850221099e-05,0.41750182362599747,0.00022834651582355676,0.6748531926244796,0.000341011941824382,1.455205151575748,0.00024182108130142425,3.1309981272100473
503,1300.0,35.0,600.0,0.013399181692039505,0.0,0.017143709228503317,0.007069518139785687,0.0008013105971564459,1.598596639502472,0.0003100513417944364,-2.150943902994639,0.0003593677827903387,0.48934129835541323,0.0006737268103460037,0.35580317851974846,8.875119557931146e-05,0.3701648906272767,0.00025374923668926394,0.6340689264976971,0.00035521990941559403,1.4239573333729985,0.00020209610287142264,-2.8750112272380615
504,1300.0,35.0,700.0,0.011940798214586353,0.0,0.017166975915735502,0.00825253028577152,0.0008534874408211366,1.4833100213494301,0.00033741872341677454,-2.3445852713030155,0.00027654857852803325,0.37734529020090735,0.0008553459014221515,0.20546246035238513,9.969733664977771e-05,0.29305465470853,0.0003087129989192675,0.5119043564533495,0.00044658556878205145,1.4833758815843576,0.00019724987600015155,-2.996481432731768
505,1300.0,35.0,800.0,0.013683221418740203,0.0,0.017149896989756337,0.006859555353359088,0.0008550297293794618,1.4660204315706777,0.00032916686505098477,-2.566258024199185,0.0003110870925085184,0.45973097332070495,0.0009473036060252894,0.26654281036619,9.521463708433513e-05,0.43517075064386856,0.00034477102591950294,0.4974463387940067,0.000466867994792404,1.4492226071729442,8.70901912505994e-05,-2.7284867659307186
506,1400.0,35.0,100.0,0.006169917085288631,0.0,0.017292839661771253,0.00864336147932816,0.0007490761273063907,1.7347037197591348,0.0005482472039279802,-1.4049738333772939,0.0004094537564764228,0.2440988522871449,0.0003919198454378855,-0.3685074652074496,0.00014309166658120948,-0.19228024707401714,0.00027598405265515395,0.6427577484659701,0.0004692643784893125,1.5812774449363811,0.0002645645454996106,3.109544697539491
507,1400.0,35.0,1100.0,0.030801986998557643,0.0,0.017122010050336173,0.010252301917273134,0.0008554570843536909,1.3593645843917948,0.00040554785041515233,-3.026791491878942,0.0003531368412691753,0.5829102741612061,0.0014011811515586747,0.3263542292904179,8.723426971262674e-05,0.34264531591892927,0.0007013801878805963,0.5482113312843944,0.0007631568392589901,1.515129986946887,0.0003182377053286506,1.514364052463755
508,1400.0,35.0,1300.0,0.030425665728332888,0.0,0.01711884737280404,0.011721031374041806,0.0009162822018840303,1.2858179764628361,0.00045370817917701593,3.0984011861541974,0.00026542871780107466,0.5050995707810164,0.0017134897246692483,0.34971425012784924,7.690275986955553e-05,0.5870791560718239,0.0007961516007813213,0.5798607773009918,0.000834100182631692,1.4752953633944605,0.0004353219480728048,1.175499190955021
509,1400.0,35.0,1400.0,0.04155259150248712,0.0,0.017189120754574256,0.013705571595041436,0.000941754886890725,1.243088827925907,0.0005091417793545597,2.976328981557719,0.00037878476223012885,0.8280882578713817,0.0018828808817440892,0.35257607180664235,7.82473691512602e-05,0.544407861330328,0.0008385240210998609,0.5697379441911853,0.0008768877476016857,1.4463390584480103,0.000522025242590204,1.10692645525367
510,1400.0,35.0,1500.0,0.037533852171956754,0.0,0.017209885176474402,0.01623606502771464,0.0010073696835497198,1.159309412576209,0.0005800134582112664,2.9283036054698197,0.00035589208368415034,0.8403977802704233,0.0020561720948829637,0.36092973609356443,6.908106609320944e-05,0.47979706981363546,0.0008915553064703998,0.5795864685380322,0.0009173440709078462,1.4259316052683226,0.0005917264570332601,1.0561980312309478
