family,surface,setpoint_score,actual_score,score_delta_actual_minus_setpoint,setpoint_mae,actual_mae,mae_delta_actual_minus_setpoint,setpoint_centered_mae,actual_centered_mae,centered_mae_delta,setpoint_abs_offset,actual_abs_offset,abs_offset_delta
periodic_lstm_sequence,forward,0.23857142857142857,0.4114285714285715,0.1728571428571429,0.0019144231604792832,0.0019187433064877506,4.320146008467401e-06,0.0014087543256443905,0.0014435804298650531,3.482610422066265e-05,0.0011000036603133149,0.0010126879255076204,-8.731573480569451e-05
periodic_lstm_sequence,backward,0.02857142857142857,0.5528571428571428,0.5242857142857142,0.001670675969811525,0.002538775770520228,0.0008680998007087029,0.0012631429223427728,0.002113958775684085,0.0008508158533413123,0.0009480287796142166,0.000998746695212666,5.0717915598449525e-05
periodic_mlp,forward,0.4552380952380953,0.5842857142857143,0.12904761904761902,0.002180358305534304,0.002211833341436158,3.1475035901853965e-05,0.0019338404069414062,0.001969397408636842,3.555700169543597e-05,0.0008732785352444714,0.0008453089899226189,-2.796954532185243e-05
periodic_mlp,backward,0.5638095238095239,0.758095238095238,0.19428571428571417,0.0027621414626780136,0.0027872522073434922,2.511074466547865e-05,0.002375424279213613,0.002423608108517023,4.818382930341005e-05,0.0010412554828070424,0.0010361454177445384,-5.110065062504006e-06
periodic_mlp_harmonic,forward,0.2971428571428571,0.3852380952380952,0.08809523809523812,0.0019375317693537516,0.0018996790044715215,-3.785276488223015e-05,0.0014899279904624658,0.0015071331306626098,1.7205140200143984e-05,0.0010082003198218332,0.0009429576935921187,-6.524262622971454e-05
periodic_mlp_harmonic,backward,0.17523809523809522,0.45952380952380956,0.28428571428571436,0.0024703424592527152,0.0024827030127134897,1.2360553460774495e-05,0.002026084453863779,0.002071516896588688,4.5432442724909015e-05,0.0009960498315827787,0.0009729454272635366,-2.310440431924207e-05
periodic_temporal_convolution,forward,0.3104761904761905,0.37761904761904763,0.06714285714285712,0.001985412918260394,0.0018864067565943065,-9.900616166608764e-05,0.0014745816011444487,0.001505820578000467,3.123897685601844e-05,0.001174948039276676,0.0009602078891633186,-0.00021474015011335734
periodic_temporal_convolution,backward,0.4057142857142857,0.1961904761904762,-0.2095238095238095,0.002591381157304195,0.0021926155045268072,-0.00039876565277738784,0.0021278405602237305,0.0020694488635350427,-5.839169668868773e-05,0.0011416638544320269,0.0006156113668915603,-0.0005260524875404666
residual_harmonic_gru_sequence_dense240,forward,0.28904761904761905,0.3780952380952381,0.08904761904761904,0.0019888612843895477,0.0018867346084598324,-0.00010212667592971532,0.001683543266458342,0.0016387091433547381,-4.4834123103603806e-05,0.0008849642812043847,0.0008371381210272233,-4.782616017716141e-05
residual_harmonic_gru_sequence_dense240,backward,0.33285714285714285,0.28476190476190477,-0.04809523809523808,0.0025927025769683955,0.002268049117839976,-0.0003246534591284196,0.0022240101590391996,0.002206052627528528,-1.7957531510671716e-05,0.0009082981437028766,0.000530056737755907,-0.0003782414059469696
residual_harmonic_gru_sequence_dense360,forward,0.37,0.36428571428571427,-0.005714285714285727,0.0019857131741588554,0.0019030670709456155,-8.264610321323984e-05,0.001620330342412831,0.0017109186262123735,9.058828379954241e-05,0.0010253142863960582,0.0007488887647838519,-0.0002764255216122063
residual_harmonic_gru_sequence_dense360,backward,0.4261904761904762,0.3547619047619047,-0.07142857142857145,0.002664591151954534,0.00235861823324006,-0.00030597291871447413,0.002297539142702675,0.002266916557559687,-3.0622585142988e-05,0.0009933201315313561,0.0005582795051593801,-0.000435040626371976
residual_harmonic_gru_sequence_sparse_rcim,forward,0.3957142857142857,0.3933333333333333,-0.0023809523809523725,0.0020009908869146166,0.0019063856848809497,-9.460520203366692e-05,0.0016694889086846685,0.0016679865985625229,-1.5023101221456423e-06,0.0009551085796228876,0.0008058797379065417,-0.00014922884171634598
residual_harmonic_gru_sequence_sparse_rcim,backward,0.5095238095238095,0.37952380952380954,-0.12999999999999995,0.0026867817134605143,0.0022938287362318705,-0.0003929529772286437,0.0022383759766855596,0.0022018934064372965,-3.6482570248263114e-05,0.0010806896163631646,0.0005891244225239588,-0.0004915651938392059
residual_harmonic_lstm_sequence_dense240,forward,0.2471428571428571,0.5338095238095237,0.2866666666666666,0.001961342917804222,0.001961525164737381,1.8224693315886317e-07,0.001668976371518571,0.0016297031986273814,-3.927317289118969e-05,0.0008700488921258652,0.0009378337349007637,6.778484277489857e-05
residual_harmonic_lstm_sequence_dense240,backward,0.45380952380952383,0.3342857142857143,-0.11952380952380953,0.002670585920354928,0.002354491184644651,-0.00031609473571027726,0.0022228202576629343,0.0022781066829020116,5.5286425239077334e-05,0.0011153058426092424,0.0005009298276478737,-0.0006143760149613687
residual_harmonic_lstm_sequence_dense360,forward,0.28047619047619043,0.4914285714285714,0.21095238095238095,0.0019619438768061787,0.001962877487097998,9.336102918190876e-07,0.0016228042012503682,0.0016830022203115904,6.019801906122224e-05,0.0009441839890653844,0.0008202297159890055,-0.0001239542730763789
residual_harmonic_lstm_sequence_dense360,backward,0.26619047619047614,0.43380952380952376,0.1676190476190476,0.0025605193021558267,0.002407357812499796,-0.00015316148965603075,0.0021811186083743545,0.0022674477138004104,8.632910542605591e-05,0.0009405177065581879,0.0006679260225279522,-0.00027259168403023575
residual_harmonic_lstm_sequence_sparse_rcim,forward,0.4480952380952381,0.32809523809523805,-0.12000000000000005,0.002050885752995768,0.0018580384495751187,-0.00019284730342064918,0.001657797421270672,0.001671191264612741,1.3393843342069138e-05,0.0010478418626650192,0.0007255860662710964,-0.00032225579639392273
residual_harmonic_lstm_sequence_sparse_rcim,backward,0.5257142857142857,0.6842857142857143,0.15857142857142859,0.00270281657381142,0.0026771811649323966,-2.5635408879023502e-05,0.002223503886905051,0.002296682953052204,7.31790661471529e-05,0.0011716158566678252,0.0009988425845065107,-0.00017277327216131452
residual_harmonic_mlp,forward,0.4704761904761905,0.5504761904761906,0.08000000000000007,0.002201175279712181,0.0021913940637488657,-9.781215963315312e-06,0.0019276747079897674,0.0019486279480949453,2.0953240105177915e-05,0.0008626034106505355,0.0008590143207527792,-3.589089897756254e-06
residual_harmonic_mlp,backward,0.5014285714285714,0.7161904761904763,0.21476190476190482,0.0027629989449594176,0.002770243131111198,7.2441861517806225e-06,0.002359008897037768,0.0024091007808660927,5.00918838283247e-05,0.001022456626159949,0.0009704847279594398,-5.1971898200509135e-05
temporal_convolution,forward,0.6052380952380952,0.7576190476190476,0.1523809523809524,0.002296954939341944,0.002269330280024088,-2.7624659317855918e-05,0.0019231905334253917,0.0019659044798705522,4.271394644516052e-05,0.0011298447917858093,0.0010049549662083496,-0.00012488982557745968
temporal_convolution,backward,0.5685714285714286,0.48190476190476195,-0.08666666666666667,0.002748667341480284,0.0024525818972738547,-0.0002960854442064292,0.002370878114528767,0.002370846369039546,-3.17454892208649e-08,0.0010109846003010159,0.0005456472484888451,-0.0004653373518121708
tree,forward,0.39428571428571424,0.4961904761904761,0.10190476190476189,0.0020980228936667723,0.002119538833008741,2.1515939341968954e-05,0.0018141909881885627,0.0019194837968845777,0.00010529280869601499,0.0009089890574233892,0.0007993258221494254,-0.0001096632352739638
tree,backward,0.4076190476190476,0.7019047619047619,0.2942857142857143,0.002683795668871157,0.002758957427539118,7.516175866796116e-05,0.002319219844447937,0.0024061831919817453,8.696334753380839e-05,0.0009651027643227581,0.0009105169746533639,-5.4585789669394226e-05
wave3_1_sequential_residual_offset_probe,forward,0.5076190476190476,0.7347619047619047,0.2271428571428571,0.002220346451616919,0.0022406816531692895,2.033520155237051e-05,0.0019045355976213452,0.001914408770917854,9.87317329650874e-06,0.0009753281172173208,0.0010097498212574623,3.442170404014148e-05
wave3_1_sequential_residual_offset_probe,backward,0.5204761904761904,0.5176190476190476,-0.0028571428571427804,0.002719851362579222,0.0024290560899174955,-0.00029079527266172647,0.0023605027746009992,0.002346567834570952,-1.3934940030047027e-05,0.0009611739296905817,0.0005975871501901065,-0.0003635867795004753
wave3_2_clean_sequential_residual_offset,forward,0.5628571428571428,0.529047619047619,-0.033809523809523845,0.002253161988280515,0.002137858897326458,-0.00011530309095405741,0.0019113880549874373,0.0019108466186909204,-5.414362965168798e-07,0.0010549733344584194,0.0008409682603729844,-0.0002140050740854349
wave3_2_clean_sequential_residual_offset,backward,0.5552380952380953,0.5271428571428571,-0.028095238095238173,0.0027290583338969022,0.002471502933669107,-0.0002575554002277954,0.002371737007509845,0.002376828567526512,5.09156001666719e-06,0.0010042345029539492,0.0005522436427889126,-0.0004519908601650366
wave3_2_harmonic_residual_offset,forward,0.29238095238095235,0.21,-0.08238095238095236,0.0019365562171399847,0.0017753764524572804,-0.00016117976468270432,0.0015820524237518641,0.0015522409014152435,-2.98115223366206e-05,0.0009495235889492666,0.0007551305910031421,-0.00019439299794612455
wave3_2_harmonic_residual_offset,backward,0.24523809523809523,0.12523809523809523,-0.12,0.0025137673112972337,0.0021529076195738297,-0.0003608596917234041,0.002126801516165903,0.002056687876653105,-7.01136395127983e-05,0.000977346714262335,0.0005419445953530083,-0.0004354021189093268
wave3_3_curve_aware_pointwise_control,forward,0.4004761904761905,0.15,-0.2504761904761905,0.0019920864581318416,0.0017487489015906258,-0.00024333755654121583,0.0015950781682050209,0.001554804699009864,-4.027346919515686e-05,0.0010800520184820785,0.000678049224095337,-0.00040200279438674144
wave3_3_curve_aware_pointwise_control,backward,0.38523809523809527,0.1776190476190476,-0.20761904761904768,0.00258580476414698,0.0021905211130018795,-0.0003952836511451007,0.0021393626278344525,0.0020837259504769717,-5.5636677357480836e-05,0.001111998308866811,0.0005609555313776371,-0.0005510427774891738
wave3_3_full_curve_composite,forward,0.4323809523809523,0.3280952380952381,-0.1042857142857142,0.00208369315955738,0.0018900855870938218,-0.00019360757246355827,0.0016532532640384028,0.001622041105304824,-3.121215873357888e-05,0.0010854717798222898,0.0008592938408801133,-0.00022617793894217655
wave3_3_full_curve_composite,backward,0.4342857142857143,0.27285714285714285,-0.16142857142857142,0.0026699935666717484,0.002249774913908816,-0.00042021865276293223,0.002251016730655491,0.0021544790619775116,-9.653766867797958e-05,0.0010329663120421538,0.0005742473644405154,-0.00045871894760163843
wave3_3_raw_centered_shape_curve_aware,forward,0.4195238095238095,0.49333333333333335,0.07380952380952382,0.002038911511781999,0.0019263813763160684,-0.0001125301354659308,0.001576817982406012,0.0015714831153637752,-5.3348670422366865e-06,0.0011515581170933587,0.00094571988226015,-0.00020583823483320872
wave3_3_raw_centered_shape_curve_aware,backward,0.2704761904761905,0.1857142857142857,-0.08476190476190479,0.0025390665453219868,0.0021968981830399704,-0.00034216836228201635,0.0020948649390095087,0.0020809023348368314,-1.3962604172677341e-05,0.0010499155459964143,0.000575076469244845,-0.0004748390767515693
