condition_id,surface,learned_h08_gate,residual_abs_max_deg,reconstruction_max_abs_difference_deg,onnx_max_abs_difference_deg,plc_reference_max_abs_difference_deg
speed_600rpm__torque_500Nm__temperature_35degC__Bw,Bw,0.10407482832670212,0.0,1.862645149230957e-09,0.0,0.0
speed_600rpm__torque_700Nm__temperature_35degC__Fw,Fw,0.15872423350811005,0.0002741090429481119,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_600rpm__torque_700Nm__temperature_35degC__Bw,Bw,0.11614567041397095,0.0,3.725290298461914e-09,0.0,0.0
speed_600rpm__torque_1000Nm__temperature_30degC__Fw,Fw,0.19118261337280273,0.0003674943291116506,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_600rpm__torque_1000Nm__temperature_30degC__Bw,Bw,0.18796037137508392,0.0,3.725290298461914e-09,0.0,0.0
speed_600rpm__torque_1300Nm__temperature_30degC__Fw,Fw,0.174765482544899,0.000270277785602957,7.450580596923828e-09,7.450580596923828e-09,1.4901161193847656e-08
speed_600rpm__torque_1300Nm__temperature_30degC__Bw,Bw,0.2016252875328064,0.0,7.450580596923828e-09,0.0,0.0
speed_600rpm__torque_1700Nm__temperature_25degC__Fw,Fw,0.19195322692394257,0.00027877595857717097,1.4901161193847656e-08,7.450580596923828e-09,7.450580596923828e-09
speed_600rpm__torque_1700Nm__temperature_25degC__Bw,Bw,0.257192999124527,0.0,7.450580596923828e-09,0.0,0.0
speed_700rpm__torque_200Nm__temperature_30degC__Fw,Fw,0.21151188015937805,0.0002537858672440052,3.725290298461914e-09,3.725290298461914e-09,7.450580596923828e-09
speed_700rpm__torque_200Nm__temperature_30degC__Bw,Bw,0.11771941930055618,0.0,1.862645149230957e-09,0.0,0.0
speed_700rpm__torque_700Nm__temperature_35degC__Fw,Fw,0.13681837916374207,0.00022290193010121584,7.450580596923828e-09,7.450580596923828e-09,1.4901161193847656e-08
speed_700rpm__torque_700Nm__temperature_35degC__Bw,Bw,0.09057673811912537,0.0,3.725290298461914e-09,0.0,0.0
speed_700rpm__torque_1000Nm__temperature_25degC__Fw,Fw,0.211686909198761,0.00031481351470574737,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_700rpm__torque_1000Nm__temperature_25degC__Bw,Bw,0.20867523550987244,0.0,3.725290298461914e-09,0.0,0.0
speed_700rpm__torque_1200Nm__temperature_35degC__Fw,Fw,0.10812420397996902,0.00018107364303432405,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_700rpm__torque_1200Nm__temperature_35degC__Bw,Bw,0.1197170838713646,0.0,3.725290298461914e-09,0.0,0.0
speed_700rpm__torque_1400Nm__temperature_30degC__Fw,Fw,0.1465364545583725,0.00017903473053593189,7.450580596923828e-09,7.450580596923828e-09,2.2351741790771484e-08
speed_700rpm__torque_1400Nm__temperature_30degC__Bw,Bw,0.18247689306735992,0.0,3.725290298461914e-09,0.0,0.0
speed_700rpm__torque_1600Nm__temperature_35degC__Fw,Fw,0.08422767370939255,0.00013519328786060214,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_700rpm__torque_1600Nm__temperature_35degC__Bw,Bw,0.1405768245458603,0.0,7.450580596923828e-09,0.0,0.0
speed_700rpm__torque_1800Nm__temperature_30degC__Fw,Fw,0.12248209863901138,0.00015265258844010532,7.450580596923828e-09,7.450580596923828e-09,1.4901161193847656e-08
speed_700rpm__torque_1800Nm__temperature_30degC__Bw,Bw,0.1989072859287262,0.0,7.450580596923828e-09,0.0,0.0
speed_800rpm__torque_0Nm__temperature_35degC__Fw,Fw,0.15267378091812134,0.00020079240493942052,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09
speed_800rpm__torque_0Nm__temperature_35degC__Bw,Bw,0.019390113651752472,0.0,1.862645149230957e-09,0.0,0.0
speed_800rpm__torque_100Nm__temperature_35degC__Fw,Fw,0.14738033711910248,0.00018684907990973443,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09
speed_800rpm__torque_100Nm__temperature_35degC__Bw,Bw,0.025893498212099075,0.0,1.862645149230957e-09,0.0,0.0
speed_800rpm__torque_600Nm__temperature_25degC__Fw,Fw,0.21310549974441528,0.00026623118901625276,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_800rpm__torque_600Nm__temperature_25degC__Bw,Bw,0.16418342292308807,0.0,1.862645149230957e-09,0.0,0.0
speed_800rpm__torque_800Nm__temperature_35degC__Fw,Fw,0.10755408555269241,0.00018041738076135516,7.450580596923828e-09,7.450580596923828e-09,1.4901161193847656e-08
speed_800rpm__torque_800Nm__temperature_35degC__Bw,Bw,0.07058162987232208,0.0,3.725290298461914e-09,0.0,0.0
speed_800rpm__torque_1200Nm__temperature_30degC__Fw,Fw,0.1348838210105896,0.00019445628277026117,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_800rpm__torque_1200Nm__temperature_30degC__Bw,Bw,0.14809298515319824,0.0,3.725290298461914e-09,0.0,0.0
speed_800rpm__torque_1800Nm__temperature_35degC__Fw,Fw,0.045961637049913406,6.350292096612975e-05,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_800rpm__torque_1800Nm__temperature_35degC__Bw,Bw,0.12661412358283997,0.0,7.450580596923828e-09,0.0,0.0
speed_900rpm__torque_0Nm__temperature_30degC__Fw,Fw,0.1795007884502411,0.00032287751673720777,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09
speed_900rpm__torque_0Nm__temperature_30degC__Bw,Bw,0.05049929767847061,0.0,1.862645149230957e-09,0.0,0.0
speed_900rpm__torque_100Nm__temperature_35degC__Fw,Fw,0.12492720037698746,0.00014819324132986367,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09
speed_900rpm__torque_100Nm__temperature_35degC__Bw,Bw,-0.0007070357678458095,0.0,1.862645149230957e-09,0.0,0.0
speed_900rpm__torque_700Nm__temperature_25degC__Fw,Fw,0.1878547966480255,0.000284063455183059,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_900rpm__torque_700Nm__temperature_25degC__Bw,Bw,0.14430013298988342,0.0,3.725290298461914e-09,0.0,0.0
speed_900rpm__torque_1500Nm__temperature_35degC__Fw,Fw,0.03804760053753853,5.0690738135017455e-05,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_900rpm__torque_1500Nm__temperature_35degC__Bw,Bw,0.08602602779865265,0.0,7.450580596923828e-09,0.0,0.0
speed_1000rpm__torque_600Nm__temperature_30degC__Fw,Fw,0.12246781587600708,0.0001774353440850973,3.725290298461914e-09,7.450580596923828e-09,7.450580596923828e-09
speed_1000rpm__torque_600Nm__temperature_30degC__Bw,Bw,0.060267139226198196,0.0,1.862645149230957e-09,0.0,0.0
speed_1000rpm__torque_900Nm__temperature_35degC__Fw,Fw,0.050155673176050186,0.00010327116615371779,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_1000rpm__torque_900Nm__temperature_35degC__Bw,Bw,0.023829208686947823,0.0,3.725290298461914e-09,0.0,0.0
speed_1000rpm__torque_1400Nm__temperature_35degC__Fw,Fw,0.01736440323293209,3.2233881938736886e-05,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_1000rpm__torque_1400Nm__temperature_35degC__Bw,Bw,0.05447548255324364,0.0,7.450580596923828e-09,0.0,0.0
speed_1000rpm__torque_1800Nm__temperature_30degC__Fw,Fw,0.046603839844465256,0.00010709898197092116,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_1000rpm__torque_1800Nm__temperature_30degC__Bw,Bw,0.12608042359352112,0.0,7.450580596923828e-09,0.0,0.0
speed_1100rpm__torque_300Nm__temperature_25degC__Fw,Fw,0.16614936292171478,0.00029558269307017326,7.450580596923828e-09,3.725290298461914e-09,7.450580596923828e-09
speed_1100rpm__torque_300Nm__temperature_25degC__Bw,Bw,0.06879092007875443,0.0,1.862645149230957e-09,0.0,0.0
speed_1100rpm__torque_500Nm__temperature_30degC__Fw,Fw,0.1035887748003006,0.00015004881424829364,3.725290298461914e-09,0.0,3.725290298461914e-09
speed_1100rpm__torque_500Nm__temperature_30degC__Bw,Bw,0.02663964219391346,0.0,1.862645149230957e-09,0.0,0.0
speed_1100rpm__torque_800Nm__temperature_30degC__Fw,Fw,0.08470510691404343,0.00013941616634838283,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_1100rpm__torque_800Nm__temperature_30degC__Bw,Bw,0.044633474200963974,0.0,3.725290298461914e-09,0.0,0.0
speed_1100rpm__torque_1000Nm__temperature_30degC__Fw,Fw,0.07185398042201996,0.0001289557694690302,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_1100rpm__torque_1000Nm__temperature_30degC__Bw,Bw,0.05639541894197464,0.0,3.725290298461914e-09,0.0,0.0
speed_1100rpm__torque_1200Nm__temperature_30degC__Fw,Fw,0.05889463052153587,0.00012645797687582672,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_1100rpm__torque_1200Nm__temperature_30degC__Bw,Bw,0.06788912415504456,0.0,3.725290298461914e-09,0.0,0.0
speed_1100rpm__torque_1400Nm__temperature_35degC__Fw,Fw,-0.010058853775262833,2.2514017473440617e-05,7.450580596923828e-09,0.0,3.725290298461914e-09
speed_1100rpm__torque_1400Nm__temperature_35degC__Bw,Bw,0.02841399610042572,0.0,3.725290298461914e-09,0.0,0.0
speed_1300rpm__torque_300Nm__temperature_25degC__Fw,Fw,0.12085318565368652,0.00020633585518226027,7.450580596923828e-09,3.725290298461914e-09,3.725290298461914e-09
speed_1300rpm__torque_300Nm__temperature_25degC__Bw,Bw,0.017235415056347847,0.0,1.862645149230957e-09,0.0,0.0
speed_1300rpm__torque_300Nm__temperature_35degC__Fw,Fw,0.010797847993671894,2.2807722416473553e-05,3.725290298461914e-09,9.313225746154785e-10,3.725290298461914e-09
speed_1300rpm__torque_300Nm__temperature_35degC__Bw,Bw,-0.09000856429338455,0.0,2.7939677238464355e-09,0.0,0.0
speed_1300rpm__torque_1100Nm__temperature_35degC__Fw,Fw,-0.044939253479242325,0.00011752171849366277,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_1300rpm__torque_1100Nm__temperature_35degC__Bw,Bw,-0.04167744517326355,0.0,3.725290298461914e-09,0.0,0.0
speed_1400rpm__torque_300Nm__temperature_25degC__Fw,Fw,0.09727880358695984,0.0001663296716287732,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09
speed_1400rpm__torque_300Nm__temperature_25degC__Bw,Bw,-0.007472096476703882,0.0,2.7939677238464355e-09,0.0,0.0
speed_1400rpm__torque_600Nm__temperature_25degC__Fw,Fw,0.08003262430429459,0.0001563259429531172,3.725290298461914e-09,7.450580596923828e-09,3.725290298461914e-09
speed_1400rpm__torque_600Nm__temperature_25degC__Bw,Bw,0.008392278105020523,0.0,1.862645149230957e-09,0.0,0.0
speed_1400rpm__torque_800Nm__temperature_25degC__Fw,Fw,0.06809299439191818,0.0001416931045241654,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_1400rpm__torque_800Nm__temperature_25degC__Bw,Bw,0.019098497927188873,0.0,3.725290298461914e-09,0.0,0.0
speed_1400rpm__torque_900Nm__temperature_30degC__Fw,Fw,-0.0011731417616829276,2.3341387986874906e-06,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_1400rpm__torque_900Nm__temperature_30degC__Bw,Bw,-0.030081892386078835,0.0,3.725290298461914e-09,0.0,0.0
speed_1500rpm__torque_200Nm__temperature_30degC__Fw,Fw,0.019031232222914696,0.000110574510472361,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09
speed_1500rpm__torque_200Nm__temperature_30degC__Bw,Bw,-0.09172829240560532,0.0,1.862645149230957e-09,0.0,0.0
speed_1500rpm__torque_300Nm__temperature_25degC__Fw,Fw,0.07331031560897827,0.00017063836276065558,7.450580596923828e-09,3.725290298461914e-09,3.725290298461914e-09
