surface,candidate_id,raw_mae_deg,raw_rmse_deg,mean_percentage_error_pct,p95_mean_percentage_error_pct,absolute_offset_error_deg,centered_shape_mae_deg,peak_to_peak_error_pct,closure_mismatch_deg,harmonic_amplitude_error_pct,harmonic_phase_error_deg,deployment_penalty,shape_harmonic_fidelity_score,raw_operating_error_score,offset_continuity_score,robustness_score,deployment_readiness_score,composite_score,veto_reason,rank
Bw,wave52r_integrated_a04_seed_161803,0.0015166066739892767,0.0018019982651500282,2.906542282678185,6.67175519687821,0.0005454845360824743,0.0012858556701030928,7.128052958762887,0.0008662680412371134,4.573480206185567,2.6033888350515464,1.0,0.5059523809523809,0.09523809523809523,0.6428571428571428,0.2857142857142857,1.0,0.46755952380952376,campaign_branch_gate_failed,2
Bw,wave52r_integrated_a03_seed_161803,0.0015122445492619268,0.0018012339399103578,2.9086016516716473,6.764459558591719,0.0005454742268041237,0.0012851649484536083,6.8011887422680415,0.0008689072164948453,6.307635257731958,2.52814193814433,1.0,0.2857142857142857,0.047619047619047616,0.75,1.0,1.0,0.5095238095238095,campaign_branch_gate_failed,3
Bw,wave52r_integrated_a06_seed_271828,0.0015228791041152782,0.001809115911737003,2.9186179985994634,6.6634854246139525,0.0005454742268041237,0.0012936804123711342,6.888912216494845,0.000864041237113402,4.619089030927835,2.7204434536082474,1.0,0.6666666666666666,0.5714285714285714,0.3214285714285714,0.14285714285714285,1.0,0.5333333333333333,campaign_branch_gate_failed,4
Bw,wave52r_integrated_a07_seed_314159,0.001522995046845989,0.0018104357722676405,2.918962624782263,6.722021590046767,0.0005454742268041237,0.001295298969072165,6.794685659793815,0.000867938144329897,4.504239134020619,2.572321175257732,1.0,0.31547619047619047,0.7142857142857143,0.6785714285714286,0.42857142857142855,1.0,0.5532738095238096,campaign_branch_gate_failed,5
Bw,wave52r_promotion_k01_global_seed_271828,0.001523086294561118,0.0018114786828739287,2.9233943524645234,6.727416758635777,0.0005454742268041237,0.0012964845360824743,6.955921907216495,0.0008677525773195876,4.581540237113402,2.5386300206185566,0.0,0.5,0.9047619047619048,0.4642857142857143,0.8571428571428571,0.0,0.5773809523809523,,6
Bw,wave52r_integrated_a05_seed_161803,0.0015209619313031762,0.0018076570161910173,2.9161781114963916,6.72396702742301,0.0005454742268041237,0.0012909690721649484,7.5733926494845365,0.0008678969072164948,4.5982,2.5759971030927837,1.0,0.6190476190476191,0.2857142857142857,0.6071428571428572,0.5714285714285714,1.0,0.580952380952381,campaign_branch_gate_failed,7
Bw,wave52r_integrated_a02_seed_314159,0.0015230876271396733,0.001811477095168069,2.9233948231549913,6.727190348267386,0.0005454742268041237,0.0012964845360824743,6.956281701030928,0.0008677628865979381,4.581624082474226,2.538672711340206,0.2,0.6071428571428571,0.9523809523809524,0.5357142857142857,0.7142857142857143,0.2,0.6372619047619048,,8
global,wave52r_integrated_a04_seed_161803,0.0014574289732651254,0.001728559968260245,2.877026708699141,6.916047072516901,0.0005773556701030928,0.0012161752577319587,6.647853463917525,0.0008716288659793815,5.054674283505155,2.8058765979381444,1.0,0.39285714285714285,0.0,0.47619047619047616,0.42857142857142855,1.0,0.3970238095238095,campaign_branch_gate_failed,1
global,wave52r_integrated_a06_seed_271828,0.0014633481387308473,0.0017357410260964872,2.888503349368382,6.785100106474943,0.0005773453608247422,0.001223582474226804,6.47530599484536,0.0008704536082474227,4.869504365979381,2.9361093556701032,1.0,0.5714285714285714,0.7142857142857143,0.07142857142857142,0.0,1.0,0.45714285714285713,campaign_branch_gate_failed,2
global,wave52r_integrated_a05_seed_161803,0.0014605086894504324,0.0017326416620017195,2.883888699927513,6.908595048032281,0.0005773505154639174,0.001220298969072165,6.812446335051547,0.0008729948453608248,5.130034644329897,2.7976643865979383,1.0,0.5,0.23809523809523805,0.5238095238095238,0.2857142857142857,1.0,0.47023809523809523,campaign_branch_gate_failed,3
global,wave52r_integrated_a02_seed_314159,0.001461768515397316,0.0017349262554966834,2.8896372286420484,7.055717468476878,0.0005773505154639174,0.0012222268041237115,6.5069409123711335,0.0008722835051546392,4.666270706185567,2.9056232783505154,0.2,0.42857142857142855,0.5238095238095238,0.45238095238095233,0.7142857142857143,0.2,0.4723809523809524,,4
global,wave52r_integrated_a07_seed_314159,0.0014632204226537047,0.0017356956155045327,2.8883322121095407,6.8731140266529245,0.0005773505154639174,0.0012232628865979382,6.563034577319588,0.0008730721649484536,4.892993221649484,2.8162386701030924,1.0,0.5357142857142857,0.5714285714285714,0.6666666666666666,0.14285714285714285,1.0,0.5565476190476191,campaign_branch_gate_failed,5
global,wave52r_integrated_a03_seed_161803,0.001457452491359575,0.0017314561065965132,2.8851705471641567,7.0755267539937945,0.0005773505154639174,0.0012181340206185566,6.430037479381443,0.0008730206185567009,6.277461221649485,2.8242423711340203,1.0,0.42857142857142855,0.19047619047619047,0.5952380952380952,1.0,1.0,0.5571428571428572,campaign_branch_gate_failed,6
global,wave52r_integrated_a07_seed_161803,0.001463073863247488,0.0017363937801021317,2.8900226969126606,7.016385813748886,0.0005773453608247422,0.001223778350515464,6.553091742268041,0.0008694432989690721,5.135537979381443,2.8150741134020616,1.0,0.6428571428571428,0.7619047619047619,0.0,0.5714285714285714,1.0,0.5630952380952381,campaign_branch_gate_failed,7
global,wave52r_promotion_k01_global_seed_271828,0.0014639597317326603,0.0017376388943033034,2.893177442643528,7.0572306405303085,0.0005773659793814433,0.0012249484536082473,6.4722211804123715,0.0008718969072164948,4.838683041237114,2.829332262886598,0.0,0.5,1.0,0.7142857142857143,0.8571428571428571,0.0,0.6464285714285715,,8
