condition_id,split,direction,source_path,row_count,finite_value_pass,theta_min_deg,theta_max_deg,median_absolute_angle_step_deg,p95_absolute_angle_step_deg,unwrapped_revolution_count,wrap_count,direction_speed_sign_pass,torque_sign_observation,mean_speed_rpm,speed_std_rpm,mean_torque_nm,torque_std_nm,mean_temperature_deg_c,temperature_std_deg_c,mean_te_deg,te_std_deg,te_peak_to_peak_deg,nominal_speed_error_rpm,nominal_torque_magnitude_error_nm,nominal_temperature_error_deg_c,operating_metadata_pass,operating_metadata_issue
speed_1100rpm__torque_1500Nm__temperature_25degC,validation,Bw,data/polished_dataset/backward/25degree/1100rpm/1100.0rpm1500.0Nm25.0deg.csv,17672,True,0.01789276487649084,359.99753757172857,0.02036985527155366,0.020398089876266567,0.9999021635919761,1,True,positive_measured,-1099.9999313829435,0.8933125655090186,1500.0638249796293,7.5021501221078495,26.48459314169307,0.15148653675362794,0.03892639275962928,0.013888014541422517,0.06630959299002567,-6.861705651317607e-05,0.06382497962931666,1.4845931416930718,True,none
speed_1100rpm__torque_1500Nm__temperature_35degC,validation,Fw,data/polished_dataset/forward/35degree/1100rpm/1100.0rpm1500.0Nm35.0deg.csv,17673,True,0.005890827418534359,359.9855145532641,0.02037047305066153,0.02039881614537222,0.9999588461345607,1,True,negative_measured,1100.0000075817384,0.9357927409436535,-1499.8556576715168,7.194077760605491,36.1285508968483,0.1520831394435974,-0.07561174614069541,0.012898554084328249,0.05475431369954935,7.581738373119151e-06,-0.14434232848316242,1.128550896848303,True,none
speed_1100rpm__torque_1500Nm__temperature_35degC,validation,Bw,data/polished_dataset/backward/35degree/1100rpm/1100.0rpm1500.0Nm35.0deg.csv,17672,True,0.01198159013570841,359.99162380480254,0.020370057049376555,0.020398158166585745,0.999902054288031,1,True,positive_measured,-1099.9997988148853,0.8927535833414438,1499.9679288792447,8.760320383210935,36.318202806699865,0.1525867424196637,0.045704389764465114,0.014242930977666619,0.06791697815516512,-0.00020118511474720435,-0.032071120755290394,1.3182028066998654,True,none
speed_1100rpm__torque_1600Nm__temperature_30degC,validation,Fw,data/polished_dataset/forward/30degree/1100rpm/1100.0rpm1600.0Nm30.0deg.csv,17673,True,0.005706892245755228,359.9853427149359,0.02037014812219695,0.020395883358602873,0.9999588841951818,1,True,negative_measured,1100.0000178672249,0.8357517548786758,-1599.8480502099299,5.862832637431732,32.4564674927856,0.14802243548313995,-0.07823857879469326,0.013398281629065546,0.06128167526610677,1.7867224869405618e-05,-0.15194979007014808,2.456467492785599,True,none
speed_1100rpm__torque_1600Nm__temperature_30degC,validation,Bw,data/polished_dataset/backward/30degree/1100rpm/1100.0rpm1600.0Nm30.0deg.csv,17673,True,0.018058489592811526,359.99769472827137,0.02036994633309064,0.02039799435664662,0.9999588360825792,1,True,positive_measured,-1100.000021595013,0.8962050208634205,1599.9667324384166,7.879018389014756,32.72540994737736,0.1504459985122758,0.045507864897009385,0.014282535975184004,0.06837030044665872,2.159501309506595e-05,-0.03326756158344324,2.725409947377358,True,none
speed_1100rpm__torque_1800Nm__temperature_30degC,validation,Fw,data/polished_dataset/forward/30degree/1100rpm/1100.0rpm1800.0Nm30.0deg.csv,17672,True,0.005429245324850313,359.98505729147166,0.020370460633273524,0.02039763145127438,0.9999023670945786,1,True,negative_measured,1100.0000898953572,0.8993305921146201,-1800.0242414383827,6.6087006768292405,31.601976007243096,0.15080559247510433,-0.08634658917924123,0.013386050515271726,0.061970269305961195,8.989535717773833e-05,0.024241438382659908,1.6019760072430955,True,none
speed_1100rpm__torque_1800Nm__temperature_30degC,validation,Bw,data/polished_dataset/backward/30degree/1100rpm/1100.0rpm1800.0Nm30.0deg.csv,17673,True,0.01732397720992899,359.99694852779015,0.020369810259296628,0.02040053201226044,0.9999588711480468,1,True,positive_measured,-1100.0001090581147,0.9837934878180629,1799.9265594615579,9.075891279127347,32.10713008544107,0.15322889592779543,0.05276465807115677,0.014844588311669257,0.07229548879587387,0.00010905811473094218,-0.07344053844212795,2.107130085441071,True,none
speed_1100rpm__torque_1800Nm__temperature_35degC,validation,Fw,data/polished_dataset/forward/35degree/1100rpm/1100.0rpm1800.0Nm35.0deg.csv,17672,True,0.005341600627166493,359.9849804304543,0.020370401649245196,0.02040183792449568,0.9999023180449209,1,True,negative_measured,1100.000031707718,1.0636694276256975,-1800.2177994274996,7.541123049348879,34.92269126301494,0.14853022251132864,-0.08730475799856657,0.012951050529283354,0.05819169908306257,3.170771810800943e-05,0.21779942749958536,-0.07730873698506002,True,none
speed_1100rpm__torque_1800Nm__temperature_35degC,validation,Bw,data/polished_dataset/backward/35degree/1100rpm/1100.0rpm1800.0Nm35.0deg.csv,17673,True,0.0120929980493842,359.99171637308643,0.020370128456832504,0.02040112287630791,0.9999587931900209,1,True,positive_measured,-1099.9999842409334,0.9996991530771359,1799.9528564687132,9.93996694227524,35.0883217337181,0.1528781982025578,0.05644684262369574,0.015207226955559691,0.07151406983172683,-1.575906662765192e-05,-0.047143531286792495,0.0883217337180966,True,none
speed_1300rpm__torque_0Nm__temperature_35degC,validation,Fw,data/polished_dataset/forward/35degree/1300rpm/1300.0rpm0.0Nm35.0deg.csv,14954,True,0.01469962298896481,359.99061506241617,0.024074322233417433,0.024092911225153557,0.9999433533851917,1,True,near_zero_setpoint,1299.9999402403544,0.6278668591970851,0.026054120286858433,6.643256510780672,34.69792965092952,0.15359594631589127,-0.0165464961348456,0.01211770785129789,0.039561466417267634,-5.975964563731395e-05,0.026054120286858433,-0.30207034907048325,True,none
