condition_id,split,direction,nominal_speed_rpm,nominal_torque_nm,measured_signed_torque_nm,measured_temperature_deg_c,measured_curve_mean_te_deg,measured_curve_peak_to_peak_te_deg,low_torque_condition,direction_torque_sign_pass
speed_1000rpm__torque_1700Nm__temperature_35degC,train,Bw,1000.0,1700.0,1699.934191460476,35.24300977366255,0.05145841118415079,0.04710854444308761,False,True
speed_1000rpm__torque_1800Nm__temperature_25degC,train,Fw,1000.0,1800.0,-1799.5668758212785,27.108349794238688,-0.0870971199426881,0.04686276945964131,False,True
speed_1000rpm__torque_1800Nm__temperature_25degC,train,Bw,1000.0,1800.0,1800.158770910301,27.602675925925926,0.051204502338495654,0.04706038989521674,False,True
speed_1000rpm__torque_1800Nm__temperature_35degC,train,Fw,1000.0,1800.0,-1799.159893019014,35.335929221747854,-0.08755057440638239,0.04590909824609106,False,True
speed_1000rpm__torque_1800Nm__temperature_35degC,train,Bw,1000.0,1800.0,1799.9362107704203,35.40315329218107,0.05565488513766152,0.04678533205248562,False,True
speed_1000rpm__torque_200Nm__temperature_25degC,train,Fw,1000.0,200.0,-200.48110737722106,26.53180658436214,-0.030650979271971978,0.0402618965347399,False,True
speed_1000rpm__torque_200Nm__temperature_25degC,train,Bw,1000.0,200.0,199.88192421482796,27.024407407407406,-0.005824860615768076,0.03966705770455308,False,True
speed_1000rpm__torque_200Nm__temperature_30degC,train,Fw,1000.0,200.0,-200.17136644434046,32.26315534979424,-0.02872263562081274,0.03929078475427561,False,True
speed_1000rpm__torque_200Nm__temperature_30degC,train,Bw,1000.0,200.0,200.0347482488204,32.382876028806585,-0.00290005974920118,0.03889340493516592,False,True
speed_1000rpm__torque_200Nm__temperature_35degC,train,Fw,1000.0,200.0,-200.46304254620165,34.68036882716049,-0.02888876363094372,0.03913257788472573,False,True
speed_1000rpm__torque_200Nm__temperature_35degC,train,Bw,1000.0,200.0,200.01418008159013,34.726310699588474,-0.0029893349799477724,0.038431229904870606,False,True
speed_1000rpm__torque_300Nm__temperature_35degC,train,Fw,1000.0,300.0,-300.7321096496818,34.8319212962963,-0.03232284700475177,0.03992558249938565,False,True
speed_1000rpm__torque_300Nm__temperature_35degC,train,Bw,1000.0,300.0,300.03572582643284,34.960438271604936,0.0012305147584719001,0.038886993293760885,False,True
speed_1000rpm__torque_400Nm__temperature_25degC,train,Fw,1000.0,400.0,-400.09603862163954,26.40093827160494,-0.03789624085318024,0.04099092860165922,False,True
speed_1000rpm__torque_400Nm__temperature_25degC,train,Bw,1000.0,400.0,400.0272276012085,26.886396604938273,0.0016711315584945743,0.03990070376943492,False,True
speed_1000rpm__torque_400Nm__temperature_30degC,train,Fw,1000.0,400.0,-400.12671772099327,33.260543209876545,-0.03571990847555225,0.04051533217267643,False,True
speed_1000rpm__torque_400Nm__temperature_30degC,train,Bw,1000.0,400.0,400.01333955788397,33.4465128600823,0.004611736112778014,0.03887214491260068,False,True
speed_1000rpm__torque_400Nm__temperature_35degC,train,Fw,1000.0,400.0,-400.4197072099756,34.90220679012346,-0.036242290665045,0.04037046287613262,False,True
speed_1000rpm__torque_400Nm__temperature_35degC,train,Bw,1000.0,400.0,399.65119605458847,34.99754063786008,0.005052892984587129,0.039097610854649724,False,True
speed_1000rpm__torque_500Nm__temperature_25degC,train,Fw,1000.0,500.0,-500.32386957617945,26.789451131687244,-0.04168230863266723,0.040832542710746975,False,True
speed_1000rpm__torque_500Nm__temperature_25degC,train,Bw,1000.0,500.0,500.0665794018261,27.318811213991765,0.005426526272110799,0.03923798602417174,False,True
speed_1000rpm__torque_500Nm__temperature_30degC,train,Fw,1000.0,500.0,-500.0407042449394,30.25433333333333,-0.04060661938299798,0.040339421894868305,False,True
speed_1000rpm__torque_500Nm__temperature_30degC,train,Bw,1000.0,500.0,500.05871578217926,30.589944444444445,0.006865626141659778,0.039435312556139045,False,True
speed_1000rpm__torque_500Nm__temperature_35degC,train,Fw,1000.0,500.0,-500.0950098160363,34.83151543209876,-0.0400704798029539,0.04147818415461425,False,True
speed_1000rpm__torque_500Nm__temperature_35degC,train,Bw,1000.0,500.0,499.9419638825529,34.91875720164609,0.00868711073319469,0.03869056805954232,False,True
speed_1000rpm__torque_600Nm__temperature_35degC,train,Fw,1000.0,600.0,-599.9519438410001,34.94139506172839,-0.04408043169645602,0.04173679898184075,False,True
speed_1000rpm__torque_600Nm__temperature_35degC,train,Bw,1000.0,600.0,599.846197762914,35.09326440329218,0.012294795046382376,0.03998630058480154,False,True
speed_1000rpm__torque_700Nm__temperature_25degC,train,Fw,1000.0,700.0,-699.909505996194,27.41175257201646,-0.04738124271181857,0.04156181692331931,False,True
speed_1000rpm__torque_700Nm__temperature_25degC,train,Bw,1000.0,700.0,699.8768082101965,27.919518004115222,0.01281658748076532,0.04041376834880946,False,True
speed_1000rpm__torque_700Nm__temperature_30degC,train,Fw,1000.0,700.0,-699.9464671184987,32.067627057613166,-0.04776674479937628,0.04107229411628516,False,True
speed_1000rpm__torque_700Nm__temperature_30degC,train,Bw,1000.0,700.0,700.016323972615,32.33232458847736,0.01409975192977486,0.03985269408855268,False,True
speed_1000rpm__torque_900Nm__temperature_25degC,train,Fw,1000.0,900.0,-899.8126546051277,26.500906378600824,-0.054657208446196474,0.043153834218396886,False,True
speed_1000rpm__torque_900Nm__temperature_25degC,train,Bw,1000.0,900.0,899.807439555949,26.99806018518519,0.01793697139320855,0.04121913783013434,False,True
speed_1000rpm__torque_900Nm__temperature_30degC,train,Fw,1000.0,900.0,-899.7465591494439,32.11108950617284,-0.05397713010527496,0.04330194658645231,False,True
speed_1000rpm__torque_900Nm__temperature_30degC,train,Bw,1000.0,900.0,900.0126062489651,32.27813888888889,0.02203498776697335,0.04154930616832601,False,True
speed_100rpm__torque_0Nm__temperature_25degC,train,Fw,100.0,0.0,0.0059796140792594595,26.376438168724274,-0.020395072526649037,0.0390119271149781,True,True
speed_100rpm__torque_0Nm__temperature_25degC,train,Bw,100.0,0.0,0.009827719941798993,26.156979732510283,-0.014317710761748077,0.03975056629483627,True,True
speed_100rpm__torque_0Nm__temperature_35degC,train,Fw,100.0,0.0,0.0009038085974345317,34.437483693415636,-0.015376933978854024,0.038997901397008476,True,True
speed_100rpm__torque_0Nm__temperature_35degC,train,Bw,100.0,0.0,-0.004777989094804207,33.63571435185185,-0.009789711571435463,0.040034620711942026,True,True
speed_100rpm__torque_1000Nm__temperature_25degC,train,Fw,100.0,1000.0,-999.9755805595912,24.259157510288066,-0.06273325998673752,0.04240382773183251,False,True
speed_100rpm__torque_1000Nm__temperature_25degC,train,Bw,100.0,1000.0,999.989526288968,24.13541532921811,0.026881714427438128,0.04085789124241438,False,True
speed_100rpm__torque_1000Nm__temperature_35degC,train,Fw,100.0,1000.0,-999.9557746302935,36.91756841563787,-0.061300586305005046,0.043247055470081695,False,True
speed_100rpm__torque_1000Nm__temperature_35degC,train,Bw,100.0,1000.0,999.9608463268671,36.917688695017,0.03154345736779951,0.041083520696525155,False,True
speed_100rpm__torque_100Nm__temperature_25degC,train,Fw,100.0,100.0,-100.00553374673113,24.589653395061724,-0.0280715846945468,0.038523164887674016,False,True
speed_100rpm__torque_100Nm__temperature_25degC,train,Bw,100.0,100.0,100.00369875808742,24.6178920781893,-0.00810711450914146,0.03820575360194841,False,True
speed_100rpm__torque_1100Nm__temperature_35degC,train,Fw,100.0,1100.0,-1099.9819460781023,37.113390329218106,-0.06512019866515349,0.04354423429366834,False,True
speed_100rpm__torque_1100Nm__temperature_35degC,train,Bw,100.0,1100.0,1100.0369152197031,37.106963564627385,0.03525530834246755,0.04140381804586294,False,True
speed_100rpm__torque_1200Nm__temperature_25degC,train,Fw,100.0,1200.0,-1200.0218415088614,24.635860751028808,-0.07017734240509621,0.04269130527999618,False,True
speed_100rpm__torque_1200Nm__temperature_25degC,train,Bw,100.0,1200.0,1199.9853603380868,24.5812798419745,0.03460155639182851,0.04247131240336522,False,True
speed_100rpm__torque_1200Nm__temperature_30degC,train,Fw,100.0,1200.0,-1200.0040503968428,30.412084053497942,-0.0714939779264945,0.04349065013220142,False,True
