angular_position_deg,measured_te_deg,predicted_te_deg,residual_te_deg,speed_rpm,torque_nm,oil_temperature_deg
3.891202688217163,-0.05566040426492691,-0.056845515966415405,-0.0011851117014884949,1600.0,1500.0,25.0
3.9211418628692627,-0.05534113943576813,-0.05679216608405113,-0.0014510266482830048,1600.0,1500.0,25.0
3.9504878520965576,-0.055624332278966904,-0.05675140768289566,-0.0011270754039287567,1600.0,1500.0,25.0
3.9795827865600586,-0.05616794526576996,-0.05672265589237213,-0.0005547106266021729,1600.0,1500.0,25.0
4.008780002593994,-0.056602343916893005,-0.05670586973428726,-0.00010352581739425659,1600.0,1500.0,25.0
4.038466453552246,-0.056549519300460815,-0.05670163780450821,-0.0001521185040473938,1600.0,1500.0,25.0
4.068449974060059,-0.056195881217718124,-0.05671096220612526,-0.000515080988407135,1600.0,1500.0,25.0
4.098625659942627,-0.05565084144473076,-0.056734614074230194,-0.0010837726294994354,1600.0,1500.0,25.0
4.128906726837158,-0.054993242025375366,-0.056773215532302856,-0.0017799735069274902,1600.0,1500.0,25.0
4.158961772918701,-0.054550521075725555,-0.05682670697569847,-0.0022761858999729156,1600.0,1500.0,25.0
4.188576698303223,-0.054547522217035294,-0.05689460039138794,-0.002347078174352646,1600.0,1500.0,25.0
4.217541694641113,-0.05518532916903496,-0.05697593092918396,-0.001790601760149002,1600.0,1500.0,25.0
4.246490478515625,-0.05584276467561722,-0.0570722334086895,-0.0012294687330722809,1600.0,1500.0,25.0
4.275722026824951,-0.05622744560241699,-0.05718492716550827,-0.0009574815630912781,1600.0,1500.0,25.0
4.305422782897949,-0.056159187108278275,-0.05731547251343727,-0.0011562854051589966,1600.0,1500.0,25.0
4.33531379699707,-0.05590750277042389,-0.05746322125196457,-0.00155571848154068,1600.0,1500.0,25.0
4.365187644958496,-0.0556735023856163,-0.05762723460793495,-0.0019537322223186493,1600.0,1500.0,25.0
4.394905090332031,-0.05559847876429558,-0.05780642107129097,-0.002207942306995392,1600.0,1500.0,25.0
4.424399375915527,-0.05574396997690201,-0.057999759912490845,-0.0022557899355888367,1600.0,1500.0,25.0
4.453555107116699,-0.056236159056425095,-0.05820562317967415,-0.001969464123249054,1600.0,1500.0,25.0
4.482500076293945,-0.05694112926721573,-0.05842394381761551,-0.0014828145503997803,1600.0,1500.0,25.0
4.5115790367126465,-0.05749780312180519,-0.05865656957030296,-0.0011587664484977722,1600.0,1500.0,25.0
4.5411906242370605,-0.05751689895987511,-0.05890629068017006,-0.0013893917202949524,1600.0,1500.0,25.0
4.571002006530762,-0.057323917746543884,-0.05916973203420639,-0.001845814287662506,1600.0,1500.0,25.0
4.6008687019348145,-0.05705486610531807,-0.05944456532597542,-0.0023896992206573486,1600.0,1500.0,25.0
4.630537033081055,-0.056962814182043076,-0.0597270168364048,-0.002764202654361725,1600.0,1500.0,25.0
4.659964084625244,-0.05711596459150314,-0.0600150041282177,-0.002899039536714554,1600.0,1500.0,25.0
4.689016819000244,-0.05766071751713753,-0.06030542775988579,-0.0026447102427482605,1600.0,1500.0,25.0
4.718043327331543,-0.058254677802324295,-0.06059999763965607,-0.002345319837331772,1600.0,1500.0,25.0
4.746884822845459,-0.05904315039515495,-0.06089533492922783,-0.001852184534072876,1600.0,1500.0,25.0
