condition_id,split,direction,model_id,validity_scope,nominal_speed_rpm,nominal_torque_nm,nominal_temperature_deg_c,mae_deg,rmse_deg,centered_mae_deg,centered_rmse_deg,offset_abs_error_deg,peak_to_peak_abs_error_deg,derivative_mae_deg_per_sample,periodic_closure_error_deg,retained_amplitude_mae_deg,retained_phase_mae_rad,curve_materialization_runtime_microseconds,prediction_memory_bytes
speed_700rpm__torque_1800Nm__temperature_30degC,test,Fw,PF_B_RECOVERED_ONNX,valid_recovered_fw,700.0,1800.0,30.0,0.001610731422013637,0.0019151935394122101,0.0016135300470853007,0.00190773890036386,0.00016881522871103893,0.0070492374666207835,0.0006509725905047773,0.0001697822490374229,0.0005353851538218977,1.0840114960102198,51.550184401604454,16384
speed_700rpm__torque_1800Nm__temperature_30degC,test,Fw,PF_C_PLC_ORDER10,valid_recovered_plc,700.0,1800.0,30.0,1085.5942578907152,1098.6107440284593,137.0437742327621,168.6139796383229,1085.594257890715,936.5388095044584,53.48811506430101,125.63560163474517,68.13985419360347,1.6788511548694103,174.50004816055298,16384
speed_700rpm__torque_1800Nm__temperature_30degC,test,Fw,PF_D_DIRECT_ORACLE,target_leaking_ceiling_only,700.0,1800.0,30.0,0.00019963183638037517,0.00025399831414691374,0.00019963183638037517,0.00025399831414691374,0.0,0.00033651067661311096,0.00032567889406517577,0.0011509179063402403,1.0089103549517888e-18,1.4508070670752697e-15,36.20004281401634,16384
speed_700rpm__torque_1800Nm__temperature_30degC,test,Bw,PF_A_LOCAL_QUADRATIC,valid_common_split,700.0,1800.0,30.0,0.0012899656274471768,0.0016073054072080351,0.0012410282548819542,0.001543684050850838,0.0004477390123598102,0.0009215276524961805,0.0011235863297909356,0.0016184507870539988,0.00017138663011318078,0.3041806590654184,223.1999533250928,16384
speed_700rpm__torque_1800Nm__temperature_30degC,test,Bw,PF_A_PAPER_QUADRATIC,valid_common_split,700.0,1800.0,30.0,0.00181548669075998,0.0021741933105899496,0.0017699718538115553,0.0021275916733774717,0.0004477390123598102,0.008875840410392834,0.0010374833257106636,8.571007039215317e-06,0.0005015224619700637,1.3233134057341926,507.7000241726637,16384
speed_700rpm__torque_1800Nm__temperature_30degC,test,Bw,PF_E_REDUCED_QUADRATIC,valid_common_split,700.0,1800.0,30.0,0.0013022273192326152,0.0016176423106820789,0.0012522742409464276,0.001554444087807574,0.0004477390123598102,0.000977141526721799,0.0011255582462265552,0.0014292256054007774,0.0002105984554128311,0.3978092891798716,195.4999752342701,16384
speed_700rpm__torque_1800Nm__temperature_30degC,test,Bw,PF_B_RECOVERED_ONNX,out_of_domain_bw_stress_only,700.0,1800.0,30.0,0.14385201687254112,0.14387917406941333,0.002266640600348306,0.0027953483859236797,0.14385201687254112,0.006703240301018647,0.001048523726431462,0.0001697822490374229,0.0007070969211762676,1.1403675708790726,51.35018287870578,16384
speed_700rpm__torque_1800Nm__temperature_30degC,test,Bw,PF_C_PLC_ORDER10,valid_recovered_plc,700.0,1800.0,30.0,0.001576485064064045,0.001874354622918112,0.0010416437337247356,0.0013184744139359975,0.0013322276352975976,0.0022550407367137176,0.0009973936562565383,0.0010986339926121053,0.00016629916576743435,0.2102078048413675,169.20000780373812,16384
speed_700rpm__torque_1800Nm__temperature_30degC,test,Bw,PF_D_DIRECT_ORACLE,target_leaking_ceiling_only,700.0,1800.0,30.0,0.0003018642120739334,0.0003743765268274159,0.0003018642120739334,0.0003743765268274159,0.0,0.00033724757975079483,0.0004892340346366529,0.00018131044621190473,4.622917596570137e-19,1.2430257440638254e-15,41.30008164793253,16384
speed_800rpm__torque_0Nm__temperature_35degC,test,Fw,PF_A_LOCAL_QUADRATIC,valid_common_split,800.0,0.0,35.0,0.0034874950111561318,0.0035741016011721946,0.0006282062783736252,0.0007820363179947217,0.0034874950111561318,0.0014784489234729858,0.0005620545922098081,1.485078095703413e-05,0.00011172201799396692,0.3107472550422438,218.70003547519445,16384
