candidate_id,queue_index,formulation,order_set_name,capacity_name,random_seed,run_instance_id,run_directory,best_epoch,validation_curve_mae_deg,mae_deg,rmse_deg,centered_mae_deg,centered_rmse_deg,offset_abs_error_deg,peak_to_peak_abs_error_deg,derivative_mae_deg_per_sample,periodic_closure_error_deg,retained_amplitude_mae_deg,retained_phase_mae_rad,correction_to_anchor_rms,status,surface,model_role,best_validation_score,best_validation_mae_deg,checkpoint_path,parameter_count,runtime_target_derived_input_count,sobolev_derivative_mae,sobolev_derivative_correlation,per_curve_mae_p95,per_curve_mae_worst,unsupported_high_frequency_energy_ratio,mean_mae_deg,centered_shape_mae_deg,residual_rms_deg,residual_abs_max_deg,shuffled_order_prediction_difference_mae_deg,hidden_state_mean_norm,hidden_state_max_batch_mean_norm,reset_reproducibility_max_abs_deg,chunk_equivalence_max_abs_deg,prefix_1_mae_deg,prefix_9_mae_deg,prefix_17_mae_deg,prefix_33_mae_deg,prefix_129_mae_deg,prefix_512_mae_deg,prefix_2048_mae_deg
H08,42,banded_coefficient,data_selected,deep,314159,2026-07-31-10-48-57__stage5_h08,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-31-10-48-57__stage5_h08,30,0.0020232039969414473,0.001989231905068518,0.002349846957738279,0.0016814917820215033,0.0020179761670988316,0.0007482988641929908,0.003977828360289681,0.0010733758652934954,0.0005101723207602489,0.0002761231673549487,0.3673624949707605,0.02370243216933745,completed,Bw,promotion_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,
K01,,h04_coefficient_residual_gru,,,314159,2026-07-31-10-52-12__stage9_k01,output/training_runs/temporal_analytical_residual_models/2026-07-31-10-52-12__stage9_k01,48,,0.0017022408433472664,0.00200706545979399,0.0014612321220722562,0.0017543041497184767,0.0005715220399721174,0.0039007075600340246,0.0009837419115494898,0.0007841554230328687,0.0002136667255428705,0.2244408935554567,,completed,Bw,promotion_candidate,0.0023164378944784403,0.0016776233678683639,output/training_runs/temporal_analytical_residual_models/2026-07-31-10-52-12__stage9_k01/best_model.pt,159891,0,0.29758735719609275,0.5200101238861472,0.005835426776898765,0.020316644611935365,0.037402170110470034,0.0005715220399721174,0.001461232122072256,0.0010252854553982615,0.00750298798084259,0.00036452995846048,3.5858374663761685,4.053562164306641,0.0,5.550682544708252e-07,0.001396996099294667,0.0015754108825412575,0.0015877652277579291,0.001537500489395688,0.0016741654979121694,0.0017174531352456834,0.0017022408433472664
H04,51,bounded_coefficient,core,deep,271828,2026-07-31-10-52-12__stage5_h04__seed_271828,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-31-10-52-12__stage5_h04__seed_271828,2,0.0020342988427728415,0.002004105081053617,0.0023763499373230883,0.001728893617056543,0.0020763719084278907,0.0007207944264366448,0.004302170608260049,0.0010845895000589118,0.0007157297636929554,0.0002548522577207354,0.33668026999990686,0.0008546892709245793,completed,Bw,internal_h04_anchor,,,,,,,,,,,,,,,,,,,,,,,,,,
H08,52,banded_coefficient,data_selected,deep,271828,2026-07-31-10-52-13__stage5_h08__seed_271828,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-31-10-52-13__stage5_h08__seed_271828,24,0.002046688925474882,0.001997261036992132,0.0023663797941033864,0.0017089596352982315,0.0020527179778378492,0.0007609119226831243,0.004072422847490158,0.0010821586343871235,0.0004891135163374783,0.00027534115699844557,0.4474357816436393,0.025467352895034923,completed,Bw,promotion_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,
K01,,h04_coefficient_residual_gru,,,271828,2026-07-31-10-55-28__stage9_k01__seed_271828,output/training_runs/temporal_analytical_residual_models/2026-07-31-10-55-28__stage9_k01__seed_271828,47,,0.0015797716337389665,0.0018651349994944005,0.0013363078342356,0.0016104408723058886,0.0005631960537674879,0.0037437502803196964,0.0009386245415768571,0.0008778258793286441,0.00018843982044646618,0.21819547698895328,,completed,Bw,promotion_candidate,0.002164506120607257,0.0015509708318859339,output/training_runs/temporal_analytical_residual_models/2026-07-31-10-55-28__stage9_k01__seed_271828/best_model.pt,159891,0,0.28235809432663483,0.5403316978229502,0.0052406490808398504,0.01907756869902319,0.019862083763190406,0.0005631960537674879,0.0013363078342356004,0.0014493949711322784,0.010094351135194302,0.00040339818224310875,4.06058839389256,6.083180904388428,0.0,4.731118679046631e-07,0.0014220611810768825,0.0016182846736604538,0.0016028684108804502,0.0015371640567200511,0.0016497663166200479,0.0016311308591831605,0.0015797716337389667
H04,61,bounded_coefficient,core,deep,161803,2026-07-31-10-55-28__stage5_h04__seed_161803,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-31-10-55-28__stage5_h04__seed_161803,5,0.0020322082564234734,0.0020028439588908055,0.0023749436660008886,0.0017273441323742529,0.002074563912421254,0.0007216346642232732,0.004317139906268668,0.0010841027480602162,0.0007136495707114947,0.0002548890252078999,0.33777628409398375,0.0011347422173996673,completed,Bw,internal_h04_anchor,,,,,,,,,,,,,,,,,,,,,,,,,,
H08,62,banded_coefficient,data_selected,deep,161803,2026-07-31-10-55-29__stage5_h08__seed_161803,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-31-10-55-29__stage5_h08__seed_161803,37,0.0019994915928691626,0.001933713248990768,0.0022879857284874095,0.0016597393393108601,0.001989433065481577,0.0007040163344549496,0.004295195568120876,0.0010664885252555205,0.00042194449918863086,0.00026626107161055684,0.36869957959940525,0.02556255746980503,completed,Bw,promotion_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,
K01,,h04_coefficient_residual_gru,,,161803,2026-07-31-10-58-48__stage9_k01__seed_161803,output/training_runs/temporal_analytical_residual_models/2026-07-31-10-58-48__stage9_k01__seed_161803,48,,0.0016267875699757248,0.001931996860095507,0.0014225084801522652,0.0017165121443122214,0.0005104273814312291,0.0038498027859709036,0.0009761583497519522,0.0009291261223327253,0.00020803847093557424,0.24354548256488637,,completed,Bw,promotion_candidate,0.0022916740272194147,0.0016579801449552178,output/training_runs/temporal_analytical_residual_models/2026-07-31-10-58-48__stage9_k01__seed_161803/best_model.pt,159891,0,0.29507378916884375,0.5157305914240065,0.005637055753683234,0.01955073166080897,0.026661068912399135,0.0005104273814312291,0.0014225084801522652,0.0012281496310606599,0.0069253109395504,0.0004122928949072957,3.738281726837158,4.669963836669922,0.0,2.088025212287903e-06,0.0014110244943179389,0.001603733582684479,0.0015949411615865936,0.0015242482521638091,0.001631951280639039,0.001650568378424491,0.0016267875699757248
H04,71,bounded_coefficient,core,deep,314159,2026-07-31-10-58-48__stage5_h04,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-31-10-58-48__stage5_h04,48,0.0019375750562176108,0.0018855270383777297,0.0022249938079561696,0.0015414938116664208,0.0018538034696107494,0.0008328220221989586,0.004495904731888704,0.0010066447551069036,0.0005040802169571986,0.00021838547337156222,0.3404105427028544,0.004045253361038805,completed,global,internal_h04_anchor,,,,,,,,,,,,,,,,,,,,,,,,,,
H08,72,banded_coefficient,data_selected,deep,314159,2026-07-31-10-58-49__stage5_h08,output/training_runs/complex_harmonic_coefficient_residuals/2026-07-31-10-58-49__stage5_h08,35,0.0019137890776619315,0.001871073469929777,0.002203909424444512,0.0015181845897353078,0.0018229029194796117,0.0008368878913829095,0.003921978436586392,0.0010053526027409498,0.0004690960976751233,0.00023677997971328912,0.35189818848518667,0.011435638285798072,completed,global,promotion_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,
