condition_id,split,source_path,row_count,nominal_speed_rpm,direction_window_order,valid_row_count,transition_row_count,transition_duration_s,finite_value_pass,raw_speed_outlier_count,raw_speed_outlier_fraction,forward_valid_median_speed_rpm,backward_valid_median_speed_rpm,forward_valid_speed_mad_rpm,backward_valid_speed_mad_rpm,valid_raw_acceleration_p95_rpm_per_s,transition_raw_acceleration_p95_rpm_per_s,valid_causal_5_acceleration_p95_rpm_per_s,transition_causal_5_acceleration_p95_rpm_per_s,valid_causal_21_acceleration_p95_rpm_per_s,transition_causal_21_acceleration_p95_rpm_per_s,valid_causal_101_acceleration_p95_rpm_per_s,transition_causal_101_acceleration_p95_rpm_per_s,causal_101_valid_to_transition_p95_ratio,valid_speed_stability_pass,robust_transition_excitation_pass,validated_transient_te_target_available,load_inertia_available,commanded_drive_law_available
speed_100rpm__torque_500Nm__temperature_35degC,test,data/original_dataset/Test_35deg/100rpm/100.0rpm500.0Nm35.0deg.csv,456444,99.9981164689719,Fw_then_Bw,388800,28767,7.19175,True,1,2.1908492608074594e-06,99.9981164689719,-99.99990466894815,0.1424365327693522,0.15333300446702935,411.27228178078497,403.8960129643101,291.55610501766205,285.700003504752,112.6634413021776,107.72155565878163,18.810872541794765,17.96703801887815,1.0469657003024089,True,False,False,False,False
speed_100rpm__torque_600Nm__temperature_25degC,validation,data/original_dataset/Test_25deg/100rpm/100.0rpm600.0Nm25.0deg.csv,466562,100.00202806744103,Fw_then_Bw,388800,38886,9.7215,True,1,2.1433378629206835e-06,100.00202806744103,-99.99923413609697,0.15718860474105156,0.1680852025553179,376.1800083642015,381.76774978637695,263.5270386934394,268.578505516075,118.00656435747783,118.86603385208616,21.145634426943616,20.84023232509935,1.0146544480445379,True,False,False,False,False
speed_100rpm__torque_600Nm__temperature_30degC,train,data/original_dataset/Test_30deg/100rpm/100.0rpm600.0Nm30.0deg.csv,459842,100.0006310690272,Fw_then_Bw,388800,32166,8.041500000000001,True,1,2.1746599919102647e-06,100.0006310690272,-100.000575199374,0.14986847236285428,0.1574680645717308,397.19014118117,405.62820504418085,279.4861992448119,286.5046434104528,115.80332691472108,118.04648204926593,19.952802887505072,20.33953206374406,0.9809863287401609,True,False,False,False,False
speed_100rpm__torque_600Nm__temperature_35degC,test,data/original_dataset/Test_35deg/100rpm/100.0rpm600.0Nm35.0deg.csv,457554,99.9995693321883,Fw_then_Bw,388800,29877,7.46925,True,1,2.1855343850124795e-06,99.9995693321883,-99.99990466652282,0.155735804582946,0.15685333346482366,429.60053542628884,415.11660286536136,305.90592324733734,294.998294711138,120.40138386544186,115.66493936948063,20.132060546319508,19.771776783579746,1.0182221237212719,True,False,False,False,False
speed_100rpm__torque_700Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm700.0Nm25.0deg.csv,466564,100.0037602680095,Fw_then_Bw,388801,38886,9.7215,True,1,2.1433286751656795e-06,100.0037602680095,-99.99951353529468,0.16869973599871457,0.16422940340513037,388.69706137722915,388.6965472096051,273.63002486526966,271.3836655020856,123.08359288033444,119.4833678503926,22.01978353286904,21.02170290774552,1.047478581040919,True,False,False,False,False
speed_100rpm__torque_700Nm__temperature_30degC,train,data/original_dataset/Test_30deg/100rpm/100.0rpm700.0Nm30.0deg.csv,460628,99.99850766325835,Fw_then_Bw,388799,32951,8.23775,True,1,2.170949225839506e-06,99.99850766325835,-100.00023993779905,0.1603737982804887,0.15327706447958178,402.55518203288716,394.28494831855687,283.7330102920532,277.29567885398865,121.73291033222402,118.1396004699593,20.950885880597525,20.290293168301332,1.032557080709322,True,False,False,False,False
speed_100rpm__torque_700Nm__temperature_35degC,train,data/original_dataset/Test_35deg/100rpm/100.0rpm700.0Nm35.0deg.csv,456861,99.99951346738574,Fw_then_Bw,388801,29183,7.29575,True,1,2.188849562558415e-06,99.99951346738574,-100.00023993294842,0.16629699772845186,0.1575238663159837,436.082133092043,422.224241386499,309.30342078204376,294.37248617411456,125.6912897030702,122.40664128745479,21.353660686202147,20.907730306726055,1.0213284929991964,True,False,False,False,False
speed_100rpm__torque_800Nm__temperature_25degC,validation,data/original_dataset/Test_25deg/100rpm/100.0rpm800.0Nm25.0deg.csv,466564,100.00202806744103,Fw_then_Bw,388800,38887,9.72175,True,1,2.1433286751656795e-06,100.00202806744103,-100.00023993779905,0.1754612021613866,0.1722202093030063,401.2135711188307,395.8495799451896,282.6154649257546,279.53091830016774,131.76883689704653,132.42023658185624,23.493674382723384,24.62785660042638,0.9539471811898012,True,False,False,False,False
speed_100rpm__torque_800Nm__temperature_30degC,train,data/original_dataset/Test_30deg/100rpm/100.0rpm800.0Nm30.0deg.csv,459006,99.9999046010392,Fw_then_Bw,388799,31329,7.83225,True,1,2.178620758770038e-06,99.9999046010392,-100.00130159702773,0.17154966432524077,0.16842033558836533,419.54213520511985,417.0836415141821,297.233441621097,295.26650488375026,132.0455738121609,134.04232604160595,22.98246059971234,23.89644782731466,0.9617521719459244,True,False,False,False,False
speed_100rpm__torque_800Nm__temperature_35degC,validation,data/original_dataset/Test_35deg/100rpm/100.0rpm800.0Nm35.0deg.csv,455770,100.000575199374,Fw_then_Bw,388800,28093,7.02325,True,1,2.194089123900213e-06,100.000575199374,-100.00023986503948,0.17467880267455627,0.16981733400218957,437.64718187350127,429.15331432596986,310.9574377537001,301.6590905189446,134.0572192023103,132.42874883470677,23.009572170758346,23.50695186324856,0.9788411659927789,True,False,False,False,False
