filtered_row_index,rpm,deg,tor,fft_y_Fw_filtered_ampl_0,fft_y_Fw_filtered_phase_0,fft_y_Fw_filtered_ampl_1,fft_y_Fw_filtered_phase_1,fft_y_Fw_filtered_ampl_3,fft_y_Fw_filtered_phase_3,fft_y_Fw_filtered_ampl_39,fft_y_Fw_filtered_phase_39,fft_y_Fw_filtered_ampl_40,fft_y_Fw_filtered_phase_40,fft_y_Fw_filtered_ampl_78,fft_y_Fw_filtered_phase_78,fft_y_Fw_filtered_ampl_81,fft_y_Fw_filtered_phase_81,fft_y_Fw_filtered_ampl_156,fft_y_Fw_filtered_phase_156,fft_y_Fw_filtered_ampl_162,fft_y_Fw_filtered_phase_162,fft_y_Fw_filtered_ampl_240,fft_y_Fw_filtered_phase_240
229,900.0,25.0,800.0,0.05599463239829642,0.0,0.017200821298663665,-0.007658068503142044,0.0007351612429001781,1.7704611055221056,0.0010079681039864706,-1.2517498906350624,0.0008541461873075244,0.2729282636959065,0.0007784422635076848,-0.0771361260411971,0.0002952168898634824,-1.5035737646611895,0.0001354993344645151,1.9993479338961277,0.00012748496384592855,2.0283056265919837,0.00033341666213086257,-1.8459369846945204
230,900.0,25.0,900.0,0.05944790183112638,0.0,0.017195642925138605,-0.010125937724403076,0.000790175963612251,1.803898813791613,0.0010525700028831838,-1.206251245243222,0.000849164760604903,0.25484491995627706,0.0008764998486395563,-0.061660259156404766,0.0003098595577311413,-1.5527300772134782,0.00013147231324302434,2.143092564491627,0.00013897384283393017,1.9388338161455339,0.00036016129327091933,-1.7253200442810939
231,1000.0,30.0,0.0,0.02607595273627851,0.0,0.017030754888263895,-0.0048532185129695204,0.0008227408184671702,1.7303388726625022,0.0007933308592905106,-1.639607646323054,0.0009023303078283389,0.18619833939935948,0.0002093376909918623,1.1548379323875657,0.0003935748418695906,-0.62153155765082,0.00042352064098883025,1.726372293260068,9.195205964721561e-05,2.456411062077959,0.00018597193310027792,-2.2393132481332207
232,1000.0,30.0,100.0,0.023822848748386364,0.0,0.017238324968898475,-0.0033858460239403485,0.0006249025963748606,1.6873834296014596,0.0008203042908702595,-1.6092136447398153,0.0009023065554249105,0.015421972410911823,0.00010037821192139747,0.6872231579756609,0.0002824214324903572,-0.9765605482774055,0.0002066578071446726,1.0916061204137342,8.233350409189659e-05,2.4601283328283214,0.0002884343581791324,-2.643951919146737
233,1000.0,30.0,1200.0,0.06865839387014183,0.0,0.01716256219798783,-0.01539765197507363,0.0008432384458093801,1.8779620330196898,0.0012644082609770872,-1.106789332981017,0.0008060434625311105,0.20329042350905085,0.0011065753673447079,-0.14564558889389412,0.00031141759406614787,-1.8009840173485823,0.0001072011132863065,2.3105954461185565,0.00020527269495504172,2.0929304420241404,0.000441346680570151,-1.8140453518803334
234,1000.0,30.0,1500.0,0.07777088051464921,0.0,0.017238374190744095,-0.01719883499601046,0.0009489672446262602,1.9313647835370242,0.0014505730847551447,-1.0090579733383829,0.0007526084367114449,0.10597174905986526,0.0015240137052172495,-0.09786165083812177,0.00033022470345076606,-1.8994451934432537,0.00012082160026655272,2.7094011852724664,0.000258824321728014,2.1116441495839,0.0005444667255381885,-1.4736933979741216
235,1000.0,30.0,1800.0,0.09221461436652742,0.0,0.017096140874299896,-0.008714967688250372,0.0010158533461400777,2.0280478795794785,0.0017430023894998892,-0.9241372113077797,0.0009677955938522436,0.02603249163135044,0.0019586557311745043,-0.14592683351744304,0.00036277253475633955,-2.0755193140674404,0.00015394155110075736,-3.120483957314783,0.0002930405434661613,2.1500316555600354,0.0006522959770677516,-1.189080610297244
236,1000.0,30.0,300.0,0.035776952383306436,0.0,0.017304635703767016,-0.006138101453340644,0.0006044026127020481,1.6584083691326017,0.000810400445400209,-1.486678155248554,0.0008812371972989663,0.09792222352615801,0.00026629233306093056,-0.0525936572516825,0.0002663335918910419,-1.2210534402515616,0.00016081225677160667,1.2447634671696501,0.00011912503223441315,2.229761224382115,0.00045502272985673844,-2.4849346074521823
237,1000.0,30.0,500.0,0.04422475657484224,0.0,0.01715118021746999,-0.008994627015626071,0.0006401546337920534,1.6978228721842727,0.0008606995581281382,-1.386851146062895,0.0008883103865480247,0.1909748836867313,0.00047925029776433415,-0.05850124282876455,0.00025982824643009164,-1.2987670479484612,0.00014506923850015845,1.423183192893422,0.00013895775980003752,2.1901380255842335,0.0004460079285729437,-2.379825358098623
238,1000.0,30.0,600.0,0.04162815418259681,0.0,0.017191948326389678,-0.010709073071340548,0.0006671679362635153,1.7231006791659926,0.000900681322466984,-1.3348638777867288,0.0008644714140360457,0.22037295349520988,0.0005629982411172365,-0.07118585845281898,0.00027389708286025273,-1.3526084968683307,0.00013112233873731048,1.5342698473533627,0.00015791405164990505,2.1461479179761955,0.00045359835009476767,-2.3076645869103207
239,1000.0,30.0,700.0,0.051406177956940004,0.0,0.017196610197774544,-0.011759839112661109,0.0006912709126275045,1.763841562763357,0.0009460491086006269,-1.2902615561474207,0.0008603962653382455,0.2452996975126436,0.0006464776800449823,-0.0925867726963468,0.00027662991544837,-1.4272163731660659,0.00012180760192521488,1.678265976929154,0.0001639658505916061,2.1055812432749836,0.0004563678333158599,-2.2567899668502065
240,1000.0,30.0,800.0,0.04916081283611719,0.0,0.01728440235589341,-0.015129523090918745,0.0007270713824348466,1.7811324688318932,0.0010160789396416474,-1.2496551910822233,0.0008367730555026024,0.2680300024434706,0.0007236285121412473,-0.12910305594306792,0.00029247379302070137,-1.5403284471960303,0.00011798902975823088,1.8538062368098633,0.00016100218072016538,2.098729887660134,0.0004630496850789923,-2.1994765150339934
241,1000.0,30.0,900.0,0.05961061745214819,0.0,0.017158435120328625,-0.01385723354147012,0.0007465902172452495,1.806104033453638,0.001060693482829981,-1.2151475676107624,0.0008359720538897619,0.2514012233881047,0.0008157897242231313,-0.1272658595787347,0.00029170864388717243,-1.5887170379806759,0.0001147818060847998,1.9207571026001262,0.0001810409740806596,2.04281435265989,0.0004586797111985719,-2.1409433584820436
242,100.0,30.0,0.0,0.025676810047327546,0.0,0.017108438118075147,-0.013653812580780994,0.0008596826814071811,1.765222456238795,0.0007010428215078532,-1.622418865192256,0.0011042465304546942,0.2773365206295047,0.00011736395136689986,-0.8969829985484039,0.00038376693975048735,0.14724966059927186,0.0003217477003712768,1.660559355214952,0.0001069179665384503,2.9755368014504797,0.00013435827818013418,-1.8322969556792792
243,100.0,30.0,1200.0,0.06889932421405182,0.0,0.01701585686414129,-0.013744559178627052,0.0008112997669697117,1.847797374367962,0.001348788690624975,-0.9957622957153327,0.0008047591375022733,-0.014239970728297816,0.0014939735012843992,-0.566187395006145,0.00038730577953049187,-1.8918881077356642,3.245844840122747e-05,2.9838148112265657,0.00016075194315111062,2.717554485677803,0.0005609217297270685,-1.2044393754205351
244,100.0,30.0,1400.0,0.07567901800644734,0.0,0.0170618377675159,-0.015622541246868748,0.0008737245182490544,1.9113201598298042,0.00149859165866741,-0.9094866557363905,0.0008154761458809942,0.06677885030384542,0.0017665900119385742,-0.4968595204066235,0.00044109907640576596,-1.8791565712550458,4.644191101097486e-05,-2.7111631538669663,0.00019755678480382993,2.628302559145002,0.000675458803671747,-1.154876610217897
