surface,direction_label,factor_name,factor_value,condition_count,mean_raw_delta_deg,mean_offset_delta_deg,mean_shape_delta_deg
global,backward,oil_temperature_deg,25.000000000,25,0.000041800,0.000146800,0.000013400
global,backward,oil_temperature_deg,30.000000000,38,0.000173605,0.000148105,0.000059921
global,backward,oil_temperature_deg,35.000000000,34,0.000190000,0.000063853,0.000115324
global,forward,speed_rpm,100.000000000,9,0.000415333,0.000423889,0.000080556
global,forward,speed_rpm,200.000000000,4,0.000063250,0.000098500,0.000018500
global,forward,speed_rpm,300.000000000,4,0.000113500,0.000174750,0.000036000
global,forward,speed_rpm,400.000000000,10,0.000179400,0.000142700,0.000021900
global,forward,speed_rpm,500.000000000,7,0.000018000,0.000023571,0.000027143
global,forward,speed_rpm,600.000000000,9,0.000278444,0.000257111,0.000027889
global,forward,speed_rpm,700.000000000,7,0.000072000,0.000098857,0.000022429
global,forward,speed_rpm,800.000000000,6,0.000405167,0.000437000,0.000026500
global,forward,speed_rpm,900.000000000,4,0.000407000,0.000575000,0.000049750
global,forward,speed_rpm,1000.000000000,4,0.000033500,-0.000118250,0.000108500
global,forward,speed_rpm,1100.000000000,6,-0.000093333,-0.000135500,-0.000064500
global,forward,speed_rpm,1300.000000000,3,0.000133333,0.000194333,0.000079000
global,forward,speed_rpm,1400.000000000,4,-0.000086000,-0.000044250,0.000034250
global,forward,speed_rpm,1500.000000000,4,0.000074750,0.000176250,0.000093000
global,forward,speed_rpm,1600.000000000,5,-0.000048800,0.000317600,-0.000158800
global,forward,speed_rpm,1700.000000000,7,-0.000160000,0.000535429,-0.000219429
global,forward,speed_rpm,1800.000000000,4,0.000111750,-0.000483250,0.000217500
global,forward,torque_nm,0.000000000,5,0.001262400,0.001833800,-0.000010800
global,forward,torque_nm,100.000000000,8,-0.000052625,-0.000103375,0.000025250
global,forward,torque_nm,200.000000000,7,0.000488429,0.000752571,0.000009143
global,forward,torque_nm,300.000000000,9,0.000184333,0.000255667,0.000047667
global,forward,torque_nm,400.000000000,3,0.000394000,0.000649333,-0.000009000
global,forward,torque_nm,500.000000000,5,0.000430600,0.000625200,-0.000008600
global,forward,torque_nm,600.000000000,7,-0.000007429,-0.000202857,0.000016857
global,forward,torque_nm,700.000000000,7,-0.000199714,-0.000355000,0.000044143
global,forward,torque_nm,800.000000000,6,-0.000011500,0.000111333,-0.000002833
global,forward,torque_nm,900.000000000,7,0.000108286,-0.000015286,0.000150000
global,forward,torque_nm,1000.000000000,6,-0.000079833,-0.000153000,0.000022000
global,forward,torque_nm,1100.000000000,2,-0.000048500,-0.000118500,0.000105000
global,forward,torque_nm,1200.000000000,5,-0.000036200,-0.000029200,-0.000059400
global,forward,torque_nm,1300.000000000,1,-0.000014000,-0.000033000,0.000017000
global,forward,torque_nm,1400.000000000,6,-0.000048833,-0.000179833,0.000062667
global,forward,torque_nm,1500.000000000,1,0.000179000,0.000234000,0.000140000
global,forward,torque_nm,1600.000000000,5,-0.000297000,-0.000181200,-0.000086200
global,forward,torque_nm,1700.000000000,3,0.000411333,0.000528000,-0.000155333
global,forward,torque_nm,1800.000000000,4,0.000009750,0.000379000,-0.000065250
global,forward,oil_temperature_deg,25.000000000,25,0.000017720,0.000075120,0.000018360
global,forward,oil_temperature_deg,30.000000000,38,0.000140000,0.000229184,-0.000003474
global,forward,oil_temperature_deg,35.000000000,34,0.000196559,0.000207912,0.000033059
