bootstrap_index,torque_slope_deg_per_nm,shuffled_torque_slope_deg_per_nm
192,3.7056718895800134e-05,8.420492966428435e-07
193,3.673023084132042e-05,4.993814508739469e-07
194,3.6893462368794335e-05,-1.0128302089622622e-06
195,3.637407995121408e-05,9.864572308093494e-07
196,3.6671282483381516e-05,4.438468565442788e-08
197,3.6782259949360615e-05,9.016451733106808e-08
198,3.698421851021975e-05,-1.7558735543670556e-06
199,3.6646438395914014e-05,-4.768647845620939e-07
200,3.68505099712159e-05,-7.265182400090482e-07
201,3.670943923955463e-05,6.465267920302484e-08
202,3.640631686362166e-05,-1.2201943855904813e-06
203,3.669468444501131e-05,-5.97741167860648e-07
204,3.6764324251458714e-05,1.9088311484972403e-06
205,3.664464143021135e-05,-2.1279417945796214e-06
206,3.644729354309628e-05,-5.753031145126766e-07
207,3.664489868932203e-05,-1.319735231949309e-06
208,3.7088668224667793e-05,6.105600928571109e-07
209,3.652295338475019e-05,-1.1581918317336244e-06
210,3.6727698828293094e-05,-1.0797253443680605e-07
211,3.6512534706013765e-05,-9.785229357165148e-07
212,3.688340459781993e-05,-3.1514997642790535e-07
213,3.653725927030198e-05,-2.615705664051525e-07
214,3.7067687258888826e-05,-1.1541859257347068e-06
215,3.664586796188224e-05,1.2370372268343583e-06
216,3.670570011431967e-05,-9.831687571359969e-07
217,3.656136222174279e-05,-1.6433557285558312e-06
218,3.643389912816823e-05,-3.207272301068281e-06
219,3.675235884937638e-05,6.783993623231497e-07
220,3.67489246651337e-05,1.2321730686224157e-06
221,3.668164068908763e-05,8.54412449198907e-07
222,3.652407257337048e-05,-8.05909837134106e-07
223,3.6448268050371606e-05,-4.6995959283817305e-08
224,3.6648189593651805e-05,7.662682193963478e-07
225,3.6802927127969345e-05,1.1421424689149685e-06
226,3.67514188472326e-05,-1.3778732767552506e-06
227,3.667963378556435e-05,-2.014430650360124e-06
228,3.686540062220683e-05,2.637556227569516e-06
229,3.675548434989494e-05,1.034743449288584e-06
230,3.6120730112090326e-05,1.749584659475306e-06
231,3.6633322667089675e-05,-6.404196232749252e-07
232,3.6675266573647823e-05,-8.457760244867298e-07
233,3.692573690321738e-05,1.5425802163978447e-07
234,3.6663730246929106e-05,1.089596454030556e-06
235,3.67693742259118e-05,-2.433605378782613e-07
236,3.659355947166615e-05,-1.133950279513463e-06
237,3.6789721467007436e-05,-7.082511250329613e-08
238,3.6815953655488446e-05,-1.6131860498818382e-07
239,3.645010200626123e-05,-4.855118155018185e-07
240,3.648918279303346e-05,6.160383977143105e-07
241,3.671974277517355e-05,1.4095443054343732e-06
242,3.6475011076062606e-05,2.7384363123544802e-06
243,3.6562017226676655e-05,3.283797964576195e-06
244,3.651389497841521e-05,-1.2122095730128322e-06
245,3.675139987344532e-05,-4.193914431344159e-08
246,3.679347669971357e-05,-1.8655165321743484e-07
247,3.688619747462694e-05,5.681799220671308e-07
248,3.693696368202888e-05,1.6337183527590832e-06
249,3.683102400823521e-05,2.197155429644251e-06
250,3.6991219498785655e-05,-1.3295161200461078e-06
251,3.645128432176538e-05,-6.740316523335428e-07
252,3.68935503398879e-05,4.738539748344417e-07
253,3.664494916980761e-05,-7.028019760383752e-08
254,3.6666457807499095e-05,-1.4603279134202407e-07
255,3.659046759599304e-05,-3.9899741272212586e-07
256,3.6707035125427265e-05,1.2037540120905724e-06
257,3.6464616118615025e-05,9.286694669990363e-07
258,3.6608755119630635e-05,-1.4904256346988244e-06
259,3.653473208656824e-05,9.946973202114635e-07
260,3.692691694964458e-05,7.267601301945214e-07
261,3.680150547574239e-05,1.847235030954928e-06
262,3.692527161261497e-05,1.9727525377103317e-07
263,3.67717633299737e-05,5.308253694850501e-07
264,3.665278952964891e-05,-6.38277345948373e-07
265,3.716561141134084e-05,-1.994355161550904e-06
266,3.697752822934749e-05,-1.3809415427038097e-06
267,3.645402343637413e-05,-1.940058889005514e-06
268,3.7128810064909575e-05,-1.4548819393672316e-06
269,3.672447374849856e-05,1.0425782060512983e-06
270,3.6560097690455045e-05,-2.334579383378701e-06
271,3.666340010092243e-05,2.277315903173247e-06
272,3.642832460027351e-05,-1.5045466693909527e-06
273,3.652385624667256e-05,-2.8661166494963318e-06
274,3.659964531524076e-05,-1.0814189025661904e-06
275,3.6789308604248055e-05,-1.1024991976356117e-07
276,3.646438469061864e-05,6.914142443035268e-07
277,3.644337193110717e-05,-8.174117701415914e-07
278,3.6395162412708505e-05,-9.770456571693253e-07
279,3.642622073096874e-05,1.2444790438661113e-06
280,3.678227999390022e-05,-1.3641185882417086e-06
281,3.665340194424337e-05,-7.300839294606501e-07
282,3.664979925084613e-05,-1.4271983190913563e-06
283,3.664302713004897e-05,-1.4481151733149015e-06
284,3.659681709525003e-05,1.5970801827589085e-06
285,3.657135310459968e-05,7.282164206246463e-08
286,3.697358137472599e-05,2.3965093087372464e-07
287,3.6603349545785066e-05,-6.780133950765754e-07
288,3.683578339609488e-05,-1.4148761025924757e-06
289,3.6841953577221046e-05,-8.398373059520546e-07
290,3.6394970735608905e-05,3.495470009340324e-07
291,3.657657123525172e-05,9.491458383297842e-08
292,3.648779116080737e-05,7.959577447508446e-07
293,3.687963118505502e-05,1.1945499310051355e-06
294,3.662646948905314e-05,4.6997451816081264e-07
295,3.669860203544241e-05,-7.335090407671429e-07
296,3.653405521489953e-05,6.526504553925284e-07
297,3.646074145510808e-05,1.0308993318810667e-06
298,3.69450857560906e-05,-1.6160936715638463e-07
299,3.687084052999353e-05,2.626717728918143e-06
300,3.6785991865775054e-05,1.157747494251591e-07
301,3.6618616641384534e-05,-1.4560416360128107e-06
302,3.685253295356824e-05,-5.133938878715185e-07
303,3.638580945013471e-05,1.78482364819658e-08
304,3.6622975661096405e-05,1.1609863850058973e-06
305,3.6713841051728064e-05,-2.56626444207758e-07
306,3.6886787745283926e-05,2.4592744509909955e-07
307,3.638345987504818e-05,2.3557365235806498e-06
308,3.652367130295235e-05,1.8513839957179697e-06
309,3.660110765133179e-05,-6.569173097085428e-07
310,3.642362966470626e-05,-1.2239277835246807e-06
311,3.632493762061766e-05,1.5989681105196871e-06
312,3.622696771355953e-05,1.0244966740084639e-06
313,3.6813701553255655e-05,9.284441526323948e-07
314,3.6749457794096505e-05,2.9952307298043413e-06
315,3.679002419770968e-05,-2.468076226942604e-07
316,3.6516084469001754e-05,-2.7769991773626865e-06
317,3.674716887513151e-05,-1.2628926761743066e-06
318,3.661918465754613e-05,-1.1931168692207757e-06
319,3.632282117589213e-05,1.0073596809582138e-06
320,3.660730427213525e-05,-1.3811999110599354e-06
321,3.6516981746202177e-05,-5.008329732380878e-07
322,3.6658474570948505e-05,-7.771706998742114e-07
323,3.6708224792075384e-05,4.801910667510587e-07
324,3.654441182770957e-05,-5.350465766436525e-07
325,3.674706020070547e-05,1.2341766718139762e-06
326,3.649171963047445e-05,1.7905106372803338e-06
327,3.656360603659661e-05,1.8137495216165892e-06
328,3.6946538720373705e-05,-1.2665945270152593e-06
329,3.671854608941908e-05,-6.700733877595715e-07
330,3.690149640576066e-05,-1.0642892277297552e-06
331,3.631823041744022e-05,4.30548420798038e-07
332,3.665316391365647e-05,5.295593108955443e-07
333,3.656720046447493e-05,-2.4349800336516304e-07
334,3.694494954063986e-05,6.867406096470324e-07
335,3.675558785590586e-05,1.312155932905417e-06
336,3.641116423605724e-05,1.6926050340294955e-07
337,3.685885418764305e-05,-1.9085553505734077e-06
338,3.646541778190178e-05,-1.0291556629021984e-06
339,3.686800014142279e-05,-1.4971251811893637e-06
340,3.706234221278198e-05,2.1855131605316567e-06
341,3.664858231311012e-05,-6.367496358536208e-07
342,3.6944155015480064e-05,-2.0514134558525693e-06
343,3.6774432528430766e-05,-7.858577738413392e-07
344,3.633609556941725e-05,4.775813576027978e-07
345,3.669287542129239e-05,-1.436832858020295e-06
346,3.6274809517316975e-05,8.64655839071541e-08
347,3.644043971390524e-05,2.651071052672076e-07
348,3.6722437859570635e-05,9.706369014013037e-07
349,3.6704766662008746e-05,1.1219034083967294e-06
350,3.6906093749621526e-05,4.248708273114968e-07
351,3.697663533514545e-05,-2.2673760422375925e-06
352,3.655137430425803e-05,-1.4887255181539563e-06
353,3.661619490498388e-05,2.4809476086044926e-07
354,3.6668034747748294e-05,2.59429107258737e-06
355,3.6811569782694724e-05,-8.277634134554497e-07
356,3.705998198678868e-05,-5.687237282415362e-07
