filtered_row_index,rpm,deg,tor,fft_y_Fw_filtered_ampl_0,fft_y_Fw_filtered_ampl_1,fft_y_Fw_filtered_ampl_3,fft_y_Fw_filtered_ampl_39,fft_y_Fw_filtered_ampl_40,fft_y_Fw_filtered_ampl_78,fft_y_Fw_filtered_ampl_81,fft_y_Fw_filtered_ampl_156,fft_y_Fw_filtered_ampl_162,fft_y_Fw_filtered_ampl_240,fft_y_Fw_filtered_phase_0,fft_y_Fw_filtered_phase_1,fft_y_Fw_filtered_phase_3,fft_y_Fw_filtered_phase_39,fft_y_Fw_filtered_phase_40,fft_y_Fw_filtered_phase_78,fft_y_Fw_filtered_phase_81,fft_y_Fw_filtered_phase_156,fft_y_Fw_filtered_phase_162,fft_y_Fw_filtered_phase_240
33,1400.0,30.0,1200.0,-0.0664231038689677,0.017183694342089,0.0008576050435156,0.001199162615899,0.0008585933194452,0.001306752901283,0.0002284730332802,0.000335975527764,0.0005174306689478,0.0006168711056589,0,-0.0116064593195356,1.93680759118728,-1.1070575355019816,0.1683285851783942,-0.0146273812608222,-1.4451040405525115,-3.046030520258791,1.666468058188997,-1.2260025190876904
34,1000.0,25.0,1300.0,-0.0670023134747085,0.0171515855999694,0.0008752555530755,0.001295287112125,0.0009194862396089,0.0013262836406685,0.0003192657331933,0.0001058649713968,0.000223036884326,0.0004661748186315,0,-0.010502897807965,1.904137709995114,-1.0616941929139825,0.2249776235030657,-0.0473496629378437,-1.747311065223199,2.321452630528665,2.0319018805510662,-1.7975016250833442
35,1300.0,30.0,700.0,-0.0451988028937014,0.0171642855967355,0.0006923677767647,0.0009313035669864,0.0009000652143925,0.0007572191657898,0.0002296717828074,0.000160582595154,0.0002633529807051,0.000402927593263,0,-0.0114693333468626,1.7667486527499667,-1.3103045974598082,0.1590385305997923,-0.0061240399257115,-1.2528700438721372,2.9300864393214385,1.7435674416221938,-0.8301984187365881
36,1500.0,30.0,1600.0,-0.080498506977374,0.0172634752254556,0.0010223441191938,0.0015084730240941,0.0008597243752483,0.0018727336371748,0.0002402858072049,0.0008816349242703,0.0010621821701773,0.0007251559569479,0,-0.0065321811857907,1.987013218820327,-0.9872119864083282,-0.0086801127287683,-0.0251304756269822,-1.572359189055355,-2.864802833931193,1.7524778060241886,-1.1989070332932916
37,1100.0,25.0,1700.0,-0.0804647804876691,0.0171353317442002,0.0010763414960379,0.0015926940909144,0.0009045766870207,0.0018514662242257,0.0003437208242173,7.731272275582589e-05,0.0003275201465057,0.002061537727502,0,-0.0119842031679931,1.931410555602204,-0.9670306906578028,-0.053567286039621,-0.0702007456911993,-1.9431743910473045,0.7026894170290777,2.040447848963661,-2.64784673398077
38,100.0,30.0,100.0,-0.0245845134042245,0.0172092328526212,0.0006224590913749,0.0008860602405483,0.000923413409805,0.00021592287003,0.0002974536808543,0.0001368990911375,2.848232145437879e-05,0.0001762152530895,0,-0.0102835319461809,1.7307184124164987,-1.5568593252119924,0.2954637645991533,-2.130771443389936,-0.7664779577834737,1.3700190840304,-3.0733306626724457,-2.272976549588919
39,800.0,25.0,1300.0,-0.0665803363251486,0.0171465963718269,0.0009206540223004,0.001290333852756,0.0007925665602823,0.0012882372274792,0.000340503829121,0.0001200568568115,0.0001818270764369,0.0005143136745328,0,-0.0126665966365249,1.884977568206565,-1.0756670942713764,0.2040379849893284,-0.1226413963856552,-1.749463616202148,2.6425699762541104,1.9267257249873784,-1.2870934149919673
40,900.0,25.0,1700.0,-0.0876011786329743,0.0171145944764383,0.0010400113854228,0.0015578992774269,0.000829945721118,0.0017882093129033,0.0003625384895376,0.0001451051993954,0.0002407851336634,0.0007072519947615,0,-0.014684604793615,1.9334571045224032,-0.9375829525602022,0.1715737226733784,-0.1138921251098007,-1.9074216094899337,2.9420898001016016,2.0007413204985256,-1.269977447528201
41,1600.0,30.0,0.0,-0.0269826021501856,0.0170769290257717,0.0007832652816225,0.00070527127626,0.000822289119164,0.0005243480630123,0.0003126085569861,0.0029458881496451,0.0006921019867438,0.0002593572680466,0,-0.00681510772953,1.5750096066909045,-1.742685770015745,-0.0281223691665504,0.9808829822228546,-0.2657903202530724,-1.8006887988596436,-0.5740248006308009,-1.830525220007506
42,300.0,30.0,1800.0,-0.095807671765392,0.0170671875390148,0.0011038011786912,0.0016832088479513,0.0006758133237413,0.0021526414988055,0.0004264374988424,0.0001137490507111,0.0002462757202667,0.0007650088557396,0,-0.0137865248495382,1.956406565985397,-0.801972902681642,0.0721003945311284,-0.3270743800118526,-1.8643780664065424,-2.8465614543728357,2.269119608356514,-1.235789423012711
43,300.0,35.0,400.0,-0.0441605048514759,0.0172735793216413,0.0006265708610594,0.000930017496792,0.0008909820940847,0.0003155854025747,0.000244026842059,5.914148169939026e-05,0.0001004473421058,0.0002644166961458,0,-0.011278623583305,1.6647399268375285,-1.366588588038332,0.1857511857270387,-0.9233952605802168,-1.3628992785802845,1.867473021673887,2.8100863817724666,-2.7213171380782306
44,700.0,25.0,200.0,-0.0339171337058185,0.017284194725188,0.0006347383525636,0.0007582977008395,0.0008459371844673,0.0002484136950738,0.0002819701670541,0.0001488589754955,8.162145255541588e-05,0.0002009498784965,0,0.0002827657161755,1.584357461234359,-1.5520024495757123,0.0450638368097135,0.245257103667797,-1.023466565715513,1.130821191930082,2.077207854898177,-2.492028177492168
45,1800.0,30.0,1400.0,-0.073410660568794,0.0171915563354681,0.0009609367254382,0.0012751578095034,0.0009010926785948,0.0017703173226702,0.0003449728233266,0.0037203917717643,0.0009362025637712,0.0006744760211707,0,-0.0106082066960374,1.9883380371815516,-1.016964573405175,0.0493815275794811,0.0435394145924463,-1.3510382766678397,0.44710170006495,-2.442355649492631,-1.034063353806319
46,100.0,30.0,1000.0,-0.0613086776114114,0.0170826309795645,0.0007117414850975,0.0012939999345182,0.0008569897541791,0.0011512891294512,0.000328797136684,1.7009367007534256e-05,0.000129959586497,0.0004539457562492,0,-0.0114655579227045,1.8444437870785069,-1.087941517863321,-0.0369495603136852,-0.6630017702163585,-1.8749303377843596,2.594403891990936,2.7458675306619464,-1.334361647523281
47,1500.0,25.0,400.0,-0.0334288137245367,0.0172308691749758,0.0007733284950124,0.0007720604074952,0.0008181437257396,0.0006937347949098,0.0002688845056845,0.0003467319814542,0.0008918873405443,0.0006417329260483,0,0.0094390859616631,1.7838032539291375,-1.689923607317103,-0.1450897632386935,-0.073385300706745,-1.341742846643844,-1.7942895213236163,0.9282392159538534,-3.1288040698511126
48,1100.0,35.0,200.0,-0.0297197955113554,0.0173007005799399,0.0005945964172071,0.0007841669431055,0.0008562821954511,0.0001703745599365,0.0002674590126906,0.0004376044261251,0.0001409489379778,0.0026902203738777,0,-0.0037787173658232,1.673802886493625,-1.5260380247760583,0.0524436414586685,-0.0520659664849669,-1.311973235612534,0.8787207524426667,2.534384961280523,-2.305541000750065
49,500.0,25.0,1100.0,-0.0606076506207,0.0171228836459146,0.0008207378007962,0.001199633275952,0.0007692120908957,0.0010799180601745,0.0003367874143254,8.141127730564796e-05,0.0001541818037793,0.0002832663076803,0,-0.0159560089874518,1.8146828472882977,-1.1535511520950268,0.2492459966453524,-0.1870218514803924,-1.6432995743426104,2.6225134763246785,2.1869840527737594,-1.0974274926411527
50,900.0,25.0,200.0,-0.0309230798451389,0.0172792832670794,0.0006211458421292,0.0007511275980564,0.0008673392427111,0.0002844639032568,0.0002673822955028,0.0001960959707801,8.96908384770968e-05,0.0002571194742095,0,5.099026883423872e-05,1.5725302097163516,-1.573057357759303,-0.0139076798364282,0.176821236980298,-0.94820822945163,1.1387582198701451,2.1213044019395837,-2.5808297380083056
51,400.0,25.0,1500.0,-0.0758277356950042,0.0171672258788498,0.0009873107993488,0.001434217413602,0.0006926907346224,0.0016619599454674,0.0003997789992017,8.826621626327553e-05,0.0002091262543058,0.0005154988768138,0,-0.010637086855915,1.8934753120595111,-0.9277256257478568,0.0068515557868381,-0.2505336196517905,-1.7315740058026026,-3.125339885292429,2.224321259515822,-1.2164103807895923
52,1400.0,35.0,600.0,-0.0445387785751208,0.0171852967668729,0.0006658072005896,0.0009080089029428,0.0008747536248342,0.0006398618638396,0.0002307815266491,0.0001304318878496,0.0003830449168405,0.0003186952797768,0,-0.0092582288714271,1.7816520655217427,-1.3329142555019555,0.1812804878349938,0.0087409694239072,-1.178137093177496,-2.844429482314834,1.7518673810836995,-1.151520366126434
53,1000.0,35.0,1800.0,-0.092985499443577,0.0171699995455655,0.001052854175091,0.0018499422695511,0.0007422102273538,0.0019278701589639,0.0003525358609166,0.0001505483775129,0.00030185562656,0.0006545542516688,0,-0.0169750290309816,2.03420636529217,-0.9508100624598887,0.0419101402429911,-0.2414975580688164,-2.202691019864277,-3.044413215897091,2.127539099245029,-1.2588838001934104
54,800.0,35.0,1800.0,-0.086578455550061,0.0171454013700236,0.0011020680081366,0.0017127648608448,0.0007295267608827,0.0019738818680716,0.0004037429550743,0.0001393797462994,0.0002352387226309,0.0008156668747483,0,-0.0127353431919213,2.082461522936227,-0.8490801920166349,0.0122972278486449,-0.3018158104300462,-2.060517256418824,-2.98849474219647,2.074960409490459,-1.1488657337457513
55,1300.0,35.0,1400.0,-0.0704275413432314,0.0171391703642295,0.0009544745887909,0.001408247411128,0.0008400254634584,0.0014467311950505,0.0002098346540155,0.0003281049738767,0.0003736638739503,0.0008551576771967,0,-0.0155298400007177,1.948634347908552,-1.0254927210087907,0.0975331708407762,-0.1116277485867306,-1.8868260600107731,-3.071622563935533,1.840479528170134,-1.0751015137205615
56,200.0,25.0,600.0,-0.0504284999418809,0.0171503860642684,0.0007161383590118,0.001043331151855,0.0005404271321497,0.0005182495422851,0.0002619710785287,2.7651762284166717e-05,8.553178609611666e-05,0.0002661654189609,0,-0.0091617488086983,1.6980395406845523,-1.271040681204075,0.4357794191712548,-0.3791502232953399,-1.4102227070642863,1.7116096022642722,2.5695891504775004,-2.0214781559744406
57,700.0,35.0,1200.0,-0.0680275409101953,0.0170853271888791,0.0008978693180639,0.0013413192137822,0.0006824817103204,0.001120665491374,0.0003196463401184,7.536562738309137e-05,0.0001641904316206,0.0005120764507149,0,-0.0133067387410891,1.9421070635870143,-1.0784337621968068,0.1659390150205003,-0.4589131460287788,-1.9227028314676895,3.04535174223124,2.190674679055604,-1.3392384292426165
58,400.0,30.0,500.0,-0.0409059247511206,0.0171962241515134,0.0006388611545072,0.0009554128301613,0.0008710496837253,0.0004511733556264,0.0002534830181948,3.335418040469316e-05,9.403151562216548e-05,0.0001556675849106,0,-0.0096531751650183,1.6941554988699956,-1.342256088338207,0.258724156036281,-0.665959795810592,-1.4025149078478976,1.4026576425161457,2.800561737729697,-3.00532008234
59,600.0,35.0,1600.0,-0.0799508906394318,0.017122660104903,0.0010427641442077,0.0015465786944585,0.0007074695107912,0.0017058361308495,0.0003981349859693,0.0001248560070876,0.0002246548869017,0.000733431429071,0,-0.0167356818391006,1.9878946388395595,-0.9069912004570532,0.1011967562074394,-0.3810992752014582,-1.8851193706822449,2.364210034265029,2.1445991308821823,-1.162799769958916
60,700.0,35.0,900.0,-0.0571400449360883,0.0171583352036108,0.0007743864445162,0.0011445098211311,0.000748428656156,0.00077120038249,0.0002879570462232,6.727725424185974e-05,0.0001243704019409,0.000376127398777,0,-0.0130959295915624,1.861159700230267,-1.2058234374753125,0.2397251028755412,-0.4540509250878821,-1.7266630083785386,2.6188287242396058,2.125988658431375,-1.5317603464307137
61,1800.0,30.0,300.0,-0.0295245567762136,0.0172394190670152,0.0006189652560235,0.0006953823117485,0.0008051883605397,0.0005322687274537,0.0003049856978894,0.0031178235000812,0.0005447656132144,4.268109773666259e-05,0,-0.0027434649259468,1.7015618544282796,-1.5006192018985192,0.0201392702852414,0.2524855313852011,-0.9957389473254632,1.0317778589482578,-2.423147935775809,-1.480895661295566
62,1100.0,25.0,900.0,-0.0511489064448355,0.017167171947858,0.000755773761294,0.0009890659665429,0.0008472428189758,0.0009441842692312,0.0003267977259573,0.0003387209699072,0.0002757919429979,0.0033102515669109,0,-0.0095941316847202,1.791297082998467,-1.248367665993014,0.2445911533538062,0.1006371895838308,-1.4902649928874008,0.7907797525760047,1.933459134379841,-2.3451274899378123
63,900.0,35.0,900.0,-0.0604129099082356,0.0171497497153028,0.0007723621858193,0.0010909155274525,0.0007787008123575,0.0007832418500045,0.0002871922028669,0.0001162452736934,0.0001296336146732,0.0003369433278849,0,-0.0105675155445351,1.8349458762961632,-1.2185089906459472,0.2427570169423294,-0.2259740342446883,-1.6574053678680147,2.182742259916861,2.0306225195169354,-1.66322326814389
64,1600.0,30.0,300.0,-0.0370939232084378,0.0172733287129994,0.0005935664913365,0.0007328949364281,0.0008194945593263,0.0004693521442147,0.000278850840099,0.0014483946777334,0.0072866073167629,3.47452683519729e-05,0,-0.0044092874227463,1.643146697823071,-1.5079230150261584,0.0129927354815736,0.1615913669272218,-1.0147906112985767,-1.8759654560841736,0.9655172480445764,-2.1409792339849725
65,1400.0,35.0,900.0,-0.0515255278364137,0.0171630037978298,0.0007578588190078,0.0010549381058848,0.0008935639890968,0.0009075444734196,0.0002258659574359,0.0002409829964195,0.0004349382772584,0.0004658919975751,0,-0.0110856266166993,1.8502196482128492,-1.236829325124254,0.193084174258571,-0.0397559346002334,-1.3874814310320671,-3.039153372789627,1.6210534134577044,-1.254744314923135
66,1000.0,35.0,1700.0,-0.0817021407750123,0.0171564835578376,0.0010013289975176,0.0016467248781629,0.0006999648803423,0.0017489233593569,0.0003479898489885,0.0001383010708431,0.000293792522493,0.000625170030559,0,-0.0166389244029485,2.030500126849695,-0.9260375187187776,-0.0251839479924836,-0.226084444316009,-2.1236408979498447,3.085318578328963,2.1696261680044344,-1.303848241497261
67,1100.0,35.0,1300.0,-0.071330102495075,0.0171460710161791,0.0008929628614015,0.0013980046937601,0.0007705303615459,0.0011695933266091,0.000287672827038,0.0001223897578539,0.0002350608945049,0.0027872713139824,0,-0.0133735518693594,1.9447262158572491,-1.0668095928706771,0.1165870710252202,-0.2307304145188359,-2.0126389547323886,0.9481804848023996,2.4502951976512017,-2.7504496533690648
68,1700.0,30.0,500.0,-0.0422635086925,0.0172464016018134,0.0006287954634057,0.0007977028188544,0.0008846581940338,0.0006998164831211,0.0003039013101582,0.0033016538620774,0.0018799900480501,0.0001295858000731,0,-0.0065257830498714,1.7236923805596116,-1.3870565590863295,0.1029559505409491,0.1627366055210536,-0.96407897086259,-2.544263940830139,-2.5553860196845064,-1.178266271047221
69,800.0,35.0,1700.0,-0.0830952650482309,0.0171640345119758,0.0010642965398904,0.0016889654195324,0.0006861405560772,0.0018029601374314,0.0003917765881236,0.0001317765956812,0.0002229513347018,0.0007648634672233,0,-0.0140108833864644,2.072860184385498,-0.9083733836597904,-0.0249907914887291,-0.2964737699903909,-2.0185771606973995,-3.0428447910319782,2.074220444755815,-1.139385046296068
70,500.0,30.0,300.0,-0.039012769583109,0.0172374466929844,0.0006024341196583,0.0008124481907464,0.0009019455604263,0.0002434478241749,0.0002594787875456,7.482343345585134e-05,8.969808032378721e-05,4.973651662940154e-05,0,-0.0088796945826552,1.6364277885672438,-1.472959395383176,0.1852293176835113,-0.542400513151824,-1.2175943161354132,1.5321525608043989,2.552330206863402,2.9075372479147026
71,200.0,25.0,900.0,-0.0613901743782669,0.0170398026047197,0.0008061870077438,0.0011552793737983,0.0004506575754594,0.0008629429031692,0.0003131175924322,2.8927195998024955e-05,0.0001106630279715,0.0003561067853033,0,-0.0091151076564373,1.732603990346213,-1.1357937295329807,0.3337274637839945,-0.3869972371206143,-1.5307149120466854,2.4785840042481677,2.526605254589392,-1.7062719436788112
72,1400.0,35.0,0.0,-0.0262909571660197,0.0170365545914957,0.0007675675206493,0.0007454499375882,0.0009142085710621,0.0003725445808842,0.0002791628012144,0.00026148453898,0.0003521723134245,0.0001492222120598,0,-0.0041278740346032,1.6919343303742986,-1.694846947299388,0.0921817056994867,0.9586223766347552,-0.4108505512364545,0.4426751502081877,2.892971668334041,-2.7094018766271444
73,900.0,35.0,1300.0,-0.0659434516819186,0.0171208754156976,0.0008936248939759,0.0013895750881913,0.0007431127314673,0.0012037559987213,0.0003208273613246,0.0001169644897793,0.0001687440463116,0.0005164146585783,0,-0.0158124144022197,1.938083459283744,-1.0761065731734116,0.1441209321233396,-0.2489925344049197,-1.9385407521192477,2.662519864645703,2.096959831047988,-1.3772430718553406
74,1800.0,35.0,0.0,-0.026070164585632,0.0170465355697411,0.0007754280766703,0.0006681870048917,0.0008878479672031,0.0005904676211365,0.0003497478124171,0.0010547458635909,0.0002149906054933,0.000250002113904,0,-0.0049414114560818,1.6109804793195983,-1.8539232868487685,-0.0676565342999153,1.036718493352708,-0.1631659658264178,2.08915989746033,-1.7540400264280658,-2.3128180971668644
75,700.0,35.0,600.0,-0.0461900268320461,0.017159113002509,0.0006576752506057,0.0009705338131252,0.0008306129670813,0.0005070931261665,0.0002724454238658,7.971221599405348e-05,0.0001083004560767,0.0002694105956583,0,-0.0108710892999111,1.7426949953602848,-1.311026482364042,0.2571837598774215,-0.4531229554694277,-1.4668486586167178,2.0811342886271595,2.187237718615669,-1.770641203287585
76,500.0,35.0,1500.0,-0.0807503237375561,0.0171123609249535,0.0009911405512433,0.0015271792906998,0.0007152790933707,0.0016128564846501,0.0003749955467322,9.56454272746938e-05,0.0002242092220778,0.0006195180369341,0,-0.01616142605992,2.0108147058603336,-0.925147890946473,0.0753465873943672,-0.4449119055217176,-1.8894210394844224,-2.8321332550695386,2.306059599989378,-1.0889106753657605
77,1100.0,25.0,600.0,-0.0469433518735934,0.017196243981266,0.0006781660745393,0.0008802740114245,0.0008936327254393,0.0006310985097846,0.0003123799756868,0.0003509127804162,0.0001782669678827,0.0027193540689033,0,-0.0074711448998882,1.7080321415817528,-1.3513135531832103,0.1850480390338816,0.0487324596968632,-1.3968039862909594,0.9119520117413265,2.2436781064734106,-2.3000332060596747
78,400.0,35.0,1100.0,-0.0657719395303902,0.0170765592762852,0.0008310592613704,0.001351076434671,0.0007690657228241,0.0011148727680869,0.0002949893605094,5.001050094586056e-05,0.0001553211483651,0.0002803476315607,0,-0.0138170061622999,1.918189269788606,-1.066564538817309,0.0440300886141612,-0.5617082158189439,-1.779847190041119,-3.0819651832344843,2.5561233295716845,-1.4380269345516927
79,900.0,35.0,600.0,-0.0417375401047945,0.0172033455129712,0.0006494806717499,0.0009046010957389,0.0007971573463392,0.0005244433655612,0.0002725295108942,0.0001336014085491,0.0001238215779576,0.000285902472288,0,-0.0137345757246171,1.751947135784954,-1.3434815940187077,0.2218572317278452,-0.1668175886152245,-1.393991592770915,1.790201549963928,2.078544781940238,-2.1109761823416373
80,1400.0,25.0,200.0,-0.0258962740266066,0.0172848477884782,0.0005997738567423,0.0007485217795534,0.0008561976842237,0.0004653525384203,0.0002717115733581,0.0001163836834542,0.0003374429421513,0.0001708177638914,0,0.0007008155149597,1.6036625050192586,-1.5651744628556374,-0.072530776494042,0.4027720924508389,-0.7560252643254046,-0.0275329086260958,1.6025470454897464,-1.876445312454076
81,1000.0,35.0,400.0,-0.0382733934413519,0.0172199804162419,0.0006004553117087,0.0008334407958298,0.0008807119064713,0.0003483748435448,0.0002416286447463,0.0001367979542661,0.000135283299768,0.0004129868132528,0,-0.0081370745804732,1.6986926239282854,-1.427881517870356,0.1926931966588167,-0.1311981960096392,-1.291910140489088,1.385737568564848,2.2076732938193966,-2.5062608359377374
82,1100.0,25.0,1800.0,-0.0902864799328867,0.0171621047730184,0.001087879311917,0.0016626713920566,0.0008204974310318,0.0019073066330733,0.000358779043243,9.06783171806396e-05,0.000357595668904,0.0019078528345255,0,-0.0149248916206451,1.969562954719688,-0.9413515519662752,-0.0543660501257154,-0.0610552936958051,-1.9797796667348344,0.3143080348336333,1.988278423107888,-2.63196292849894
83,800.0,25.0,400.0,-0.0410332380286203,0.0172501494531856,0.000621367075798,0.000811110483874,0.0008834649935744,0.000412066691225,0.0002773868128809,0.0001269768526589,0.0001054419054514,0.0002022696036277,0,-0.005825064234582,1.6159595407265048,-1.4492105210930202,0.1610948396304876,0.0334614433452258,-1.171951401304089,1.6410592828998447,2.0551243250404974,-2.0657128178520017
84,1300.0,30.0,800.0,-0.0474622294229093,0.0171947182252623,0.0007063332324332,0.0009639746747709,0.0008747423012383,0.0008472304840484,0.0002214291738086,0.0001804775104889,0.0003153025753722,0.0005001587723894,0,-0.0108963328854227,1.7713643394773806,-1.260896697864827,0.2097513350453711,0.0149470465397887,-1.2836596553769746,2.9093858260484065,1.7375375647524036,-0.8324685983169776
85,1600.0,30.0,1500.0,-0.0696096250870899,0.0171970342763219,0.0009437838835563,0.0013121537660316,0.0008558349558984,0.0017252706387739,0.0002805767936359,0.0025432211984412,0.0163343430590454,0.0007140146122333,0,-0.0119514258115582,1.997769210266758,-1.04205770583679,0.1122640972709542,0.0440622368125449,-1.2962208575855887,-2.985923601102032,0.7322904612575889,-1.1263009167357108
86,200.0,35.0,200.0,-0.028655903450568,0.0172242855557049,0.0005963066042966,0.0008751622743523,0.0009003041632099,0.0003067280657624,0.0002431321914381,3.818319261596958e-05,8.56861643944148e-05,0.000248622185849,0,-0.0111627616869846,1.786492265234635,-1.440461433666093,0.1802648817840495,-1.946021441098354,-1.2421597256552994,1.304515075280645,-3.057592407955908,-2.540484262217149
87,1700.0,30.0,1100.0,-0.0577554413108306,0.0171994845547183,0.0008058431122683,0.0010952193485878,0.0008855721892406,0.0013382117013115,0.0003237513984147,0.0054960085038441,0.0025903944909917,0.0004644082027621,0,-0.0111549023190824,1.9001656659499235,-1.1303007824473852,0.1754346677974924,0.0870380199243552,-1.1773126599710892,-2.358556256615432,-2.627824159025649,-1.0273018326632286
88,600.0,25.0,400.0,-0.0356935205608784,0.0172322905047345,0.0006324124944597,0.0008112207201457,0.0008771758101965,0.0003969378340631,0.0002889213500888,0.0001664059110314,0.0001104376266652,0.0001455053122753,0,-0.0098897946339596,1.612238630849011,-1.4485347282187226,0.1821418181131836,-0.027782150608172,-1.150063757724014,1.4582250466645093,2.213566029934099,-1.8501999756939036
89,1300.0,25.0,1000.0,-0.0555917418012253,0.017252479752377,0.0008013692587587,0.0010214485805244,0.0008621655269411,0.0011079620881487,0.000248677733255,0.0002317571951715,0.0003535988970165,0.0005966955041308,0,-0.0113547293201882,1.8369101683096152,-1.1831107424048763,0.2505494933784735,0.0662550005372568,-1.3300376633922173,2.9659205126821973,1.7347422472173342,-0.8764307760553137
90,900.0,25.0,1800.0,-0.091696013998817,0.0171896105577353,0.0010874152625,0.0017025168736318,0.0008110678258403,0.0019604735802436,0.0003848109843588,0.0001594439567773,0.0002553503487915,0.0007705683066297,0,-0.0162451095062555,1.939428225946893,-0.926360871964388,-0.0033607227348726,-0.1028897430868301,-1.9266019805025216,3.0614840882655394,2.0452931396434657,-1.18810367183243
