Poisition_Output_Reducer_Fw,Transmission_Error_Fw,Position_Output_Reducer_Bw,Transmission_Error_Bw
1.20185108855367,-0.0425933932680778,358.792292308062,0.0417143416877934
1.20744215324521,-0.0425585214464377,358.786769388244,0.0417366106557893
1.21298007667065,-0.0425765901387649,358.781265160069,0.0417811361419353
1.21850014664233,-0.042616032684009,358.775752047077,0.0418216693742579
1.22395986691117,-0.0427170915322677,358.770244885236,0.0418674593986452
1.22942092828453,-0.042814906272838,358.764728335664,0.0419034125939106
1.23492322862148,-0.0428722943692037,358.759230142459,0.0419569553594101
1.2404101062566,-0.0429497431551908,358.753729350865,0.0420052568558731
1.24593512155116,-0.0429911011206627,358.748213220388,0.0420364126966888
1.25146432779729,-0.0430242924228423,358.742695329711,0.0420678872637836
1.25695967115462,-0.0430894291238815,358.737209290266,0.0421305114657571
1.26239592209458,-0.0432156595504694,358.731715371832,0.0421830018281071
1.26786016859114,-0.0433167535807115,358.726212149486,0.0422263580064737
1.27336800098419,-0.0433732217383636,358.720707669854,0.0422683006356692
1.27890726551414,-0.0433951854293468,358.715193215758,0.0423039330423762
1.28444468602538,-0.0434178289850138,358.709632409737,0.0422968053185286
1.28998998552561,-0.0434346931676828,358.704118374735,0.0423383329973603
1.29550603218377,-0.043480160335605,358.698608698323,0.0423874416364924
1.30097388289869,-0.0435707956144142,358.693062560633,0.0424004594528924
1.30645522847772,-0.043649891805785,358.687537293881,0.0424276178412129
1.31194738671184,-0.0437218975273481,358.681977242231,0.0424161708579049
1.31747206673026,-0.0437587892836859,358.676362205297,0.042349797569841
1.32305508479476,-0.043732419403625,358.670785306022,0.042321549512053
1.32860273122787,-0.0437393877656973,358.665202623233,0.0422866332135072
1.33414325304329,-0.0437527201656849,358.659639218822,0.0422716326947921
1.33968042209744,-0.0437669880277554,358.654089141637,0.0422731424775975
1.34523829445243,-0.0437597547555129,358.648528335616,0.0422643973590766
1.3508175406605,-0.043732381115376,358.642923524603,0.0422105824352457
1.35641816072166,-0.0436856545927071,358.637275043875,0.0421143064461376
1.36204979382455,-0.0436097787069798,358.631670735776,0.042064015025062
1.36767698451877,-0.0435371893561296,358.626093668863,0.0420417181394441
1.37325539253652,-0.0435105048949254,358.620544429868,0.0420515891150899
1.37884360738099,-0.043473461022586,358.615026455373,0.0420906912174814
1.38440784998238,-0.0434606305008174,358.60952985473,0.042145787221898
1.39002003706992,-0.0433974640656629,358.604031158611,0.0421969437313692
1.39564429409802,-0.0433217340882948,358.59851879999,0.0422362631361466
1.40124172903597,-0.0432778025675589,358.592970650643,0.0422405782778696
