candidate_id,direction,input_speed_rpm,output_torque_nm,oil_temperature_deg_c,curve_mae_deg,curve_rmse_deg,centered_curve_mae_deg,absolute_curve_mean_error_deg,metric_contract
PF_A_LOCAL_QUADRATIC,Fw,600.0,1300.0,30.0,0.0006743074535877026,0.0008225054578203668,0.0005710196359877196,0.0004048132639231511,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,600.0,1700.0,25.0,0.001991279634693594,0.002146641861661075,0.0006426984590555306,0.0019885532271129713,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,700.0,200.0,30.0,0.0009883524983111747,0.0011098697985654803,0.0004265212053713662,0.000973377106699716,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,700.0,700.0,35.0,0.0006153901957690897,0.0007652321449559166,0.0006153180677992492,2.573778706919938e-05,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,700.0,1000.0,25.0,0.0006067001068817128,0.0007530832808158988,0.0006012070838553802,0.00010172328640340594,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,700.0,1200.0,35.0,0.0011405710824418536,0.0013494936519464612,0.0007104525351275541,0.0010170593431111652,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,700.0,1400.0,30.0,0.0006324826839123031,0.0007794351420076751,0.0005777168273136935,0.0002903681978256162,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,700.0,1600.0,35.0,0.0010061961716409022,0.0012051381479811704,0.0006926527903811743,0.0008325836079465382,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,700.0,1800.0,30.0,0.0007017730314927029,0.0009028346447453783,0.0006527913977230977,0.00039144894691185705,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,800.0,0.0,35.0,0.0034874950111561318,0.0035741016011721946,0.0006282062783736252,0.0034874950111561318,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,800.0,100.0,35.0,0.0007161286429733358,0.0008661679825547359,0.000525728856248942,0.0005746297944697783,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,800.0,600.0,25.0,0.000571680520416418,0.0007168073542335243,0.0005406177138432987,0.000251695444721714,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,800.0,800.0,35.0,0.0006080823083019589,0.0007548015796346682,0.0005635271304727299,0.00026998755071576397,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,800.0,1200.0,30.0,0.0008005567765594283,0.0009827062990094525,0.0006220090758285825,0.0006070988480813555,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,800.0,1800.0,35.0,0.000809065926529908,0.0010105496404526236,0.0007780689799523374,0.0002648340932801946,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,900.0,0.0,30.0,0.0013152267749660211,0.0014650290654928623,0.0005306489033165968,0.0013046911106119677,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,900.0,100.0,35.0,0.0006816783094915115,0.0008335352381701002,0.0006586556558584396,0.00022294929456613544,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,900.0,700.0,25.0,0.0009712347046767302,0.0011568719794012292,0.0005749342568475355,0.000913414291247916,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,900.0,1500.0,35.0,0.0009188636363498704,0.001111891648837717,0.0007252415094128328,0.0006279289294945922,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,1000.0,600.0,30.0,0.0005603618570484972,0.0007072330488471579,0.0005098608804005661,0.00030260419149577555,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,1000.0,900.0,35.0,0.0007471583590666909,0.000936083572369607,0.0006864026491315008,0.0003802688603258553,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,1000.0,1400.0,35.0,0.0009409568223731754,0.001190995034382582,0.0009175569593578422,0.00028979778150671487,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,1000.0,1800.0,30.0,0.0009589396358088961,0.0012135532111428701,0.0008896985631037571,0.0004637783326403577,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,1100.0,300.0,25.0,0.0025904070912352653,0.003214227299073954,0.0024060339162431748,0.0011669068667694918,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,1100.0,500.0,30.0,0.0034579134940644247,0.004283864752727222,0.0034529529152963635,0.00023847215266665361,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,1100.0,800.0,30.0,0.003539362133384218,0.004346962611458168,0.003536574703166085,0.00011527361757677351,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,1100.0,1000.0,30.0,0.003909651527326785,0.004794681470236791,0.003903890231412213,0.0002258287179303306,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,1100.0,1200.0,30.0,0.0035258720702367134,0.004284191553662738,0.0034010068352663923,0.00124116848222261,phase1_full_resolution_degree
PF_A_LOCAL_QUADRATIC,Fw,1100.0,1400.0,35.0,0.003414603033857635,0.004197019851944662,0.0033970670435750907,0.0004194428910817838,phase1_full_resolution_degree
