term_name,output_index,coefficient,selected,selection_probability,sign_agreement
torque_temperature,0,0.0,False,0.23958333333333334,0.0
torque_temperature,1,0.0,False,0.8333333333333334,0.7875
torque_temperature,2,0.0,False,0.8854166666666666,0.7411764705882353
torque_temperature,3,-0.011975896139001654,True,0.78125,0.8933333333333333
torque_temperature,4,-0.008737847620833097,True,0.78125,0.8533333333333334
torque_temperature,5,0.0,False,0.625,0.0
torque_temperature,6,0.0,False,0.59375,1.0
torque_temperature,7,0.0,False,0.8333333333333334,0.0
torque_temperature,8,0.0,False,0.8333333333333334,0.0
torque_temperature,9,0.0,False,0.6770833333333334,0.8
torque_temperature,10,0.0,False,0.3333333333333333,0.0
torque_temperature,11,0.0,False,0.8958333333333334,0.7790697674418605
torque_temperature,12,-0.0008300169725485227,True,0.7604166666666666,0.8767123287671232
torque_temperature,13,0.0,False,0.8333333333333334,0.6
torque_temperature,14,0.0,False,0.84375,0.0
torque_temperature,15,0.0,False,0.8541666666666666,0.0
torque_temperature,16,0.0,False,0.9583333333333334,0.5652173913043478
torque_temperature,17,0.0,False,0.9166666666666666,0.75
torque_temperature,18,0.0,False,0.8854166666666666,0.8352941176470589
speed_temperature,0,0.0,False,0.1875,0.0
speed_temperature,1,0.0,False,0.9270833333333334,0.6292134831460674
speed_temperature,2,0.0,False,0.8854166666666666,0.8
speed_temperature,3,0.0,False,0.6875,0.0
speed_temperature,4,0.0,False,0.6666666666666666,0.0
speed_temperature,5,0.0,False,0.625,0.0
speed_temperature,6,0.0,False,0.25,0.0
speed_temperature,7,0.0,False,0.8645833333333334,0.6385542168674698
speed_temperature,8,0.0,False,0.8645833333333334,0.6746987951807228
speed_temperature,9,0.0,False,0.4895833333333333,0.0
speed_temperature,10,0.0,False,0.40625,0.0
speed_temperature,11,0.0,False,0.8333333333333334,0.7
speed_temperature,12,0.0,False,0.6041666666666666,0.0
speed_temperature,13,0.0,False,0.9375,0.6555555555555556
speed_temperature,14,0.0,False,0.9270833333333334,0.7303370786516854
speed_temperature,15,0.0,False,0.90625,0.7701149425287356
speed_temperature,16,0.0,False,0.9166666666666666,0.7272727272727273
speed_temperature,17,0.0,False,0.6979166666666666,0.0
speed_temperature,18,0.0,False,0.7395833333333334,0.7464788732394366
torque_speed_temperature,0,0.0,False,0.7604166666666666,1.0
torque_speed_temperature,1,0.1763838098176655,True,1.0,1.0
torque_speed_temperature,2,0.0,False,0.8541666666666666,0.7195121951219512
torque_speed_temperature,3,0.02534364213558458,True,0.875,0.9761904761904762
torque_speed_temperature,4,-0.046021275896216386,True,0.9895833333333334,1.0
torque_speed_temperature,5,-0.04437686862740958,True,1.0,1.0
torque_speed_temperature,6,-0.02533406181224203,True,1.0,1.0
torque_speed_temperature,7,-0.09442854208010883,True,0.9895833333333334,1.0
torque_speed_temperature,8,0.0,False,0.9270833333333334,0.8426966292134831
torque_speed_temperature,9,-0.015262070791226809,True,0.9895833333333334,1.0
torque_speed_temperature,10,0.0,False,0.5416666666666666,0.9230769230769231
torque_speed_temperature,11,0.08608876201634509,True,0.9583333333333334,1.0
torque_speed_temperature,12,0.027164871184840546,True,0.9791666666666666,1.0
torque_speed_temperature,13,-0.056683535480044775,True,0.9583333333333334,0.9891304347826086
torque_speed_temperature,14,0.09376570720902179,True,1.0,0.9895833333333334
torque_speed_temperature,15,0.02816023624929465,True,0.9583333333333334,0.9130434782608695
torque_speed_temperature,16,-0.03666141399287763,True,0.96875,0.946236559139785
torque_speed_temperature,17,-0.014194294527407275,True,0.84375,0.9629629629629629
torque_speed_temperature,18,-0.01070845282883918,True,0.7604166666666666,0.863013698630137
torque_signed_magnitude,0,1.8222415049752272,True,1.0,1.0
torque_signed_magnitude,1,16.382107529956958,True,1.0,1.0
torque_signed_magnitude,2,-28.94324894056665,True,1.0,1.0
torque_signed_magnitude,3,-12.804323007712979,True,1.0,1.0
torque_signed_magnitude,4,-4.39811167206914,True,1.0,1.0
torque_signed_magnitude,5,0.0,False,0.9791666666666666,0.8404255319148937
torque_signed_magnitude,6,-3.1729581125603588,True,1.0,1.0
torque_signed_magnitude,7,-6.012742723262404,True,1.0,0.9583333333333334
torque_signed_magnitude,8,9.04193345906162,True,1.0,1.0
torque_signed_magnitude,9,-2.1623036764936785,True,1.0,1.0
torque_signed_magnitude,10,1.9435473388193014,True,1.0,1.0
torque_signed_magnitude,11,0.7079210045232555,True,1.0,0.8854166666666666
torque_signed_magnitude,12,6.275099885196185,True,1.0,1.0
torque_signed_magnitude,13,0.0,False,1.0,0.6354166666666666
torque_signed_magnitude,14,0.0,False,1.0,0.5520833333333334
torque_signed_magnitude,15,3.5783997576584006,True,1.0,0.9895833333333334
torque_signed_magnitude,16,-3.1268113553245716,True,1.0,0.9270833333333334
torque_signed_magnitude,17,-4.8432340012860235,True,1.0,1.0
torque_signed_magnitude,18,0.024056836616449157,True,1.0,0.875
speed_signed_magnitude,0,0.38961637504916546,True,1.0,0.875
speed_signed_magnitude,1,-12.215592428947305,True,1.0,1.0
speed_signed_magnitude,2,0.0,False,0.9791666666666666,0.7127659574468085
speed_signed_magnitude,3,0.0,False,0.9895833333333334,0.5473684210526316
speed_signed_magnitude,4,-1.84907151498142,True,1.0,0.96875
speed_signed_magnitude,5,0.9577116542005447,True,1.0,0.8645833333333334
speed_signed_magnitude,6,0.880055935840907,True,1.0,0.96875
speed_signed_magnitude,7,0.0,False,0.9895833333333334,0.5052631578947369
speed_signed_magnitude,8,-4.0638122324285115,True,1.0,0.90625
speed_signed_magnitude,9,-0.006936951993916973,True,1.0,0.9166666666666666
speed_signed_magnitude,10,-0.002880258265480599,True,0.9895833333333334,0.9263157894736842
speed_signed_magnitude,11,-5.25422571095013,True,1.0,0.96875
speed_signed_magnitude,12,0.0,False,1.0,0.6979166666666666
speed_signed_magnitude,13,-21.57560207477669,True,1.0,0.9895833333333334
speed_signed_magnitude,14,40.06724279991013,True,1.0,1.0
speed_signed_magnitude,15,28.71317987394646,True,1.0,1.0
speed_signed_magnitude,16,-27.95911195434244,True,1.0,1.0
speed_signed_magnitude,17,0.0,False,0.9895833333333334,0.5157894736842106
speed_signed_magnitude,18,9.58477988234564,True,1.0,1.0
temperature_signed_magnitude,0,0.0,False,0.9375,0.5777777777777777
temperature_signed_magnitude,1,0.0,False,1.0,0.6145833333333334
temperature_signed_magnitude,2,0.0,False,0.9895833333333334,0.6421052631578947
temperature_signed_magnitude,3,0.0,False,1.0,0.8020833333333334
temperature_signed_magnitude,4,0.0,False,0.9895833333333334,0.6947368421052632
temperature_signed_magnitude,5,0.0,False,1.0,0.6145833333333334
temperature_signed_magnitude,6,0.0,False,1.0,0.6458333333333334
